epoch,train_loss,val_loss
1,0.365841,0.390357
2,0.252438,0.395976
3,0.236838,0.413484
4,0.207640,0.352640
5,0.182203,0.559155
6,0.168279,0.357177
7,0.148852,0.459596
8,0.162805,0.430244
9,0.151873,0.466219
10,0.132374,0.435408
11,0.156874,0.436018
12,0.131677,0.406709
13,0.117755,0.399903
14,0.102603,0.390230
15,0.126797,0.386767
16,0.106737,0.390862
17,0.100576,0.451185
18,0.100073,0.407638
19,0.100787,0.391016
20,0.133186,0.531937
21,0.183441,0.508903
22,0.126002,0.427879
23,0.105922,0.492242
24,0.093410,0.431929
25,0.091823,0.484470
26,0.153185,0.496125
27,0.147154,0.541851
28,0.135035,0.422909
29,0.121082,0.446512
30,0.098316,0.434652
31,0.090379,0.467160
32,0.087559,0.450028
33,0.085447,0.460889
34,0.078751,0.461101
35,0.077559,0.509601
36,0.092280,0.425309
37,0.073143,0.531566
38,0.066917,0.541369
39,0.069314,0.544965
40,0.078824,0.473600
41,0.083932,0.414791
42,0.069553,0.420870
43,0.080656,0.443265
44,0.062412,0.424030
45,0.054644,0.448855
46,0.067785,0.501513
47,0.075061,0.433717
48,0.057790,0.453687
49,0.056248,0.472540
50,0.070908,0.458422
51,0.103726,0.488080
52,0.077645,0.510846
53,0.245224,0.504019
54,0.342683,0.467251
55,0.270679,0.453472
56,0.229342,0.419325
57,0.198064,0.405597
58,0.177490,0.374587
59,0.163935,0.384936
60,0.156019,0.381788
61,0.173739,0.403717
62,0.194464,0.593571
63,0.235036,0.431211
64,0.182340,0.360253
65,0.161205,0.484395
66,0.146094,0.421838
67,0.130845,0.407543
68,0.122204,0.407772
69,0.140693,0.376060
70,0.125351,0.419237
71,0.117675,0.516534
72,0.123083,0.434369
73,0.128453,0.461750
74,0.118532,0.460237
75,0.118368,0.435748
76,0.147672,0.388851
77,0.111914,0.443236
78,0.110460,0.479627
79,0.121366,0.478340
80,0.107304,0.448300
81,0.102279,0.450664
82,0.119986,0.449442
83,0.137803,0.437926
84,0.115794,0.718511
85,0.169370,0.536274
86,0.114821,0.656996
87,0.099761,0.571095
88,0.109260,0.588954
89,0.090309,0.558925
90,0.090801,0.580821
91,0.096751,0.578857
92,0.084748,0.528134
93,0.090159,0.514871
94,0.122019,0.525153
95,0.117054,0.427021
96,0.094123,0.421947
97,0.094148,0.414590
98,0.085632,0.452904
99,0.078666,0.499468
100,0.080606,0.412227
101,0.087019,0.477213
102,0.079143,0.417115
103,0.067301,0.401528
104,0.096790,0.418162
105,0.111363,0.419607
106,0.078867,0.424554
107,0.098897,0.485523
108,0.112106,0.360201
109,0.086707,0.449112
110,0.094568,0.373605
111,0.078101,0.458687
112,0.070158,0.492071
113,0.125482,0.529180
114,0.199913,0.468201
115,0.120101,0.708271
116,0.100704,0.691601
117,0.110454,0.678982
118,0.100920,0.515348
119,0.088481,0.745802
120,0.091148,0.730304
121,0.133291,0.655280
122,0.141832,0.460134
123,0.156148,0.534692
124,0.120582,0.761038
125,0.117766,0.712194
126,0.109062,0.743774
127,0.093573,0.801624
128,0.090163,0.784046
129,0.084949,0.726008
130,0.077336,0.737925
131,0.073761,0.672823
132,0.078347,0.730955
133,0.082989,0.533633
134,0.113079,0.807361
135,0.082906,0.603698
136,0.067399,0.625613
137,0.067740,0.657213
138,0.066881,0.638147
139,0.084898,0.434652
140,0.068601,0.517878
141,0.060244,0.511838
142,0.055582,0.562526
143,0.058347,0.483503
144,0.136968,0.389813
145,0.098166,0.453257
146,0.085955,0.778801
147,0.074637,0.672337
148,0.076780,0.583904
149,0.070780,0.981580
150,0.064412,0.748246
151,0.095449,0.835994
152,0.069328,0.934092
153,0.080894,0.857441
154,0.065810,0.831393
155,0.058884,0.700965
156,0.091432,0.508698
157,0.094057,0.652531
158,0.083987,0.553081
