epoch,train_loss,val_loss
1,0.356811,0.403687
2,0.259858,0.479344
3,0.238579,0.483748
4,0.217562,0.550413
5,0.194892,0.745363
6,0.234150,0.328693
7,0.177060,0.768647
8,0.172917,0.585047
9,0.148033,0.388737
10,0.143231,0.414541
11,0.141786,0.371107
12,0.137911,0.506766
13,0.127820,0.413519
14,0.131960,0.431201
15,0.118813,0.442338
16,0.128041,0.422492
17,0.120378,0.413975
18,0.137953,0.403391
19,0.110366,0.435781
20,0.108248,0.422240
21,0.138535,0.471219
22,0.132280,0.473217
23,0.116841,0.510781
24,0.106554,0.445689
25,0.108731,0.437815
26,0.102180,0.450991
27,0.098323,0.453601
28,0.087953,0.411369
29,0.081073,0.390054
30,0.098517,0.444898
31,0.094995,0.447204
32,0.084429,0.425415
33,0.086186,0.385887
34,0.076334,0.438017
35,0.067335,0.442694
36,0.068118,0.449356
37,0.078908,0.383699
38,0.084987,0.492454
39,0.085161,0.567378
40,0.082326,0.411472
41,0.082767,0.360354
42,0.118261,0.369756
43,0.087092,0.396815
44,0.076989,0.442160
45,0.080403,0.460697
46,0.076178,0.422518
47,0.072636,0.398409
48,0.065942,0.426962
49,0.120315,0.437850
50,0.103092,0.435955
51,0.099417,0.429328
52,0.088644,0.389385
53,0.097697,0.369649
54,0.075433,0.390546
55,0.062910,0.416967
56,0.167685,0.563220
57,0.195697,0.478900
58,0.132043,0.481496
59,0.113672,0.438817
60,0.114736,0.517950
61,0.097429,0.450695
62,0.101827,0.399543
63,0.084093,0.410669
64,0.101735,0.381864
65,0.085127,0.434471
66,0.182007,0.431296
67,0.122955,0.401543
68,0.117399,0.435757
69,0.161498,0.358515
70,0.497532,0.559625
71,0.358508,0.538785
72,0.296265,0.416172
73,0.260297,0.415630
74,0.237893,0.411189
75,0.216921,0.404255
76,0.215459,0.427244
77,0.236031,0.413562
78,0.220404,0.482602
79,0.199502,0.421932
80,0.185364,0.448435
81,0.176183,0.504911
82,0.167915,0.505692
83,0.165547,0.551821
84,0.164126,0.546206
85,0.161549,0.571748
86,0.148883,0.591873
87,0.136968,0.632887
88,0.137589,0.634711
89,0.164259,0.542250
90,0.215817,0.543952
91,0.166451,0.690882
92,0.154185,0.682224
93,0.138935,0.709521
94,0.130320,0.782341
95,0.124779,0.678472
96,0.114786,0.756516
97,0.122843,0.719487
98,0.111224,0.699394
99,0.103464,0.752551
100,0.117022,0.776477
101,0.110402,0.773124
102,0.102893,0.816209
103,0.153068,0.712631
104,0.116401,0.681548
105,0.147200,0.455109
106,0.244861,0.402734
107,0.186398,0.408669
108,0.188347,0.383562
109,0.160598,0.429676
110,0.161606,0.416482
111,0.159441,0.400910
112,0.131159,0.406171
113,0.128280,0.609030
114,0.122970,0.504974
115,0.114703,0.527761
116,0.116690,0.529061
117,0.120973,0.723758
118,0.120947,0.627648
119,0.105688,0.800187
