epoch,train_loss,val_loss
1,0.531947,0.436407
2,0.266699,0.457849
3,0.236562,0.412277
4,0.203072,0.475056
5,0.178389,0.491418
6,0.171483,0.447006
7,0.152570,0.399905
8,0.145253,0.439522
9,0.155273,0.426006
10,0.135055,0.398080
11,0.177589,0.380799
12,0.158274,0.412801
13,0.143609,0.506296
14,0.137573,0.439198
15,0.129300,0.524467
16,0.114957,0.613949
17,0.107230,0.532092
18,0.141641,0.570365
19,0.159614,0.486925
20,0.124395,0.456051
21,0.112835,0.392915
22,0.105287,0.628845
23,0.206535,0.427449
24,0.162700,0.550735
25,0.123509,0.576730
26,0.114491,0.532635
27,0.108731,0.651788
28,0.156556,0.605918
29,0.145613,0.478088
30,0.133631,0.702331
31,0.120321,0.709887
32,0.097654,0.739667
33,0.135454,0.426044
34,0.135231,0.616278
35,0.113438,0.721145
36,0.099650,0.704115
37,0.133015,0.646350
38,0.111581,0.737565
39,0.111477,0.607926
40,0.109170,0.710296
41,0.136343,0.541525
42,0.115111,0.814606
43,0.093009,0.580174
44,0.083843,0.682339
45,0.093288,0.471042
46,0.092077,0.797244
47,0.095805,1.022632
48,0.455558,0.489349
49,0.423547,0.558105
50,0.361393,0.565540
51,0.334311,0.540255
52,0.298257,0.620782
53,0.282871,0.553284
54,0.264946,0.515139
55,0.247482,0.435502
56,0.228038,0.489917
57,0.232796,0.534279
58,0.197649,0.541859
59,0.187425,0.590493
60,0.181006,0.567407
61,0.182931,0.620392
62,0.170510,0.730455
63,0.163642,0.529061
64,0.156721,0.630172
65,0.248081,0.706861
66,0.196332,0.561822
67,0.160547,0.529753
68,0.154431,0.585183
69,0.161607,0.634046
70,0.136686,0.645627
71,0.125789,0.697586
72,0.171307,0.613621
73,0.147693,0.655419
74,0.131581,0.739854
75,1.117963,0.783157
76,0.596296,0.751650
77,0.595961,0.674671
78,0.591573,0.621770
79,0.590969,0.553353
80,0.593319,0.624909
