epoch,train_loss,val_loss
1,0.392379,0.390847
2,0.257999,0.380529
3,0.228980,0.424596
4,0.201059,0.382493
5,0.175937,0.431643
6,0.159241,0.651946
7,0.144848,0.474171
8,0.139318,0.439895
9,0.134700,0.384917
10,0.126067,0.427866
11,0.124521,0.404277
12,0.113565,0.412467
13,0.118501,0.429803
14,0.100704,0.406532
15,0.097103,0.404213
16,0.100477,0.433382
17,0.125328,0.459732
18,0.136159,0.433898
19,0.108288,0.423973
20,0.112817,0.485097
21,0.093887,0.445037
22,0.085867,0.487218
23,0.086537,0.572238
24,0.369349,0.473561
25,0.315568,0.497489
26,0.226079,0.395808
27,0.182283,0.440063
28,0.160314,0.438983
29,0.146563,0.560876
30,0.196623,0.403277
31,0.167346,0.699066
32,0.151423,0.527464
33,0.136771,0.645731
34,0.118448,0.594744
35,0.120419,0.628165
36,0.127983,0.668310
37,0.116900,0.656704
38,0.112329,0.487409
39,0.105714,0.642521
40,0.098390,0.582729
41,0.122481,0.582017
42,0.115310,0.531132
43,0.100919,0.624910
44,0.090557,0.475138
45,0.083493,0.677637
46,0.098247,0.635918
47,0.120122,0.410003
48,0.121091,0.387435
49,0.105328,0.702274
50,0.095839,0.478376
51,0.091929,0.389101
52,0.083104,0.444689
53,0.093762,0.637279
54,0.092990,0.553782
55,0.106833,0.629240
56,0.076675,0.684144
57,0.078143,0.752611
58,0.091554,0.750086
59,0.098213,0.830682
60,0.099585,0.395619
61,0.074615,0.624216
62,0.094804,0.468386
63,0.225848,0.674996
64,0.163310,0.666393
65,0.181461,0.513401
66,0.185927,0.704528
67,0.167518,0.637286
68,0.134802,0.720638
69,0.131499,0.713968
70,0.110134,0.777066
71,0.102469,0.733098
72,0.112179,0.647908
73,0.107537,0.681199
74,0.094900,0.635001
75,0.098025,0.710213
76,0.087718,0.748429
77,0.095121,0.695153
78,0.097964,0.667026
79,0.083815,0.774667
80,0.089759,0.747262
81,0.077637,0.742189
82,0.075171,0.704455
83,0.107673,0.413315
84,0.147826,0.619645
85,0.097745,0.664092
86,0.107900,0.571118
87,0.116380,0.634467
88,0.088588,0.527846
89,0.081978,0.686663
90,0.077164,0.640476
91,0.073744,0.661167
92,0.087097,0.607908
93,0.095385,0.675311
94,0.069725,0.583020
95,0.068413,0.447850
96,0.098926,0.688495
97,0.070770,0.745170
98,0.074783,0.471501
