epoch,train_loss,val_loss
1,0.487191,0.603071
2,0.403835,0.601362
3,0.396029,0.609432
4,0.388176,0.533072
5,0.611905,0.498580
6,0.425820,0.586243
7,0.404989,0.625867
8,0.400322,0.611332
9,0.398133,0.605962
10,0.397370,0.677385
11,0.399056,0.658528
12,0.397268,0.638008
13,0.397499,0.610605
14,0.398535,0.608336
15,0.397926,0.638912
16,0.398439,0.606794
17,0.396841,0.645051
18,0.398893,0.644196
19,0.399072,0.679814
20,0.396537,0.623051
21,0.396812,0.622097
22,0.396016,0.660892
23,0.396861,0.629524
24,0.396304,0.638679
25,0.397299,0.606511
26,0.397257,0.657775
27,0.397127,0.637236
28,0.397130,0.635150
29,0.397220,0.644114
30,0.399197,0.662976
31,0.397215,0.605011
32,0.398980,0.678697
33,0.397737,0.618353
34,0.396882,0.608960
35,0.397560,0.655067
36,0.399435,0.620977
37,0.397383,0.644713
38,0.396273,0.614609
39,0.397849,0.599285
40,0.399240,0.642532
41,0.399223,0.634910
42,0.398277,0.636765
43,0.401195,0.612764
44,0.398653,0.612920
45,0.397858,0.663410
46,0.397507,0.628568
47,0.396704,0.595637
48,0.399542,0.588589
49,0.398885,0.599148
50,0.400564,0.673002
51,0.397443,0.627075
52,0.397039,0.618510
53,0.397543,0.652852
54,0.397680,0.599827
55,0.396670,0.619458
56,0.396988,0.628249
57,0.396703,0.650720
58,0.396936,0.642679
59,0.399861,0.630511
60,0.397232,0.636450
61,0.397577,0.618639
62,0.396832,0.626362
63,0.399273,0.694852
64,0.400156,0.626822
65,0.397496,0.656489
66,0.397840,0.638378
67,0.398294,0.630537
68,0.398589,0.600096
69,0.396835,0.688863
70,0.396338,0.615628
71,0.400488,0.661139
72,0.397776,0.654447
73,0.402329,0.636369
74,0.396889,0.675966
75,0.398252,0.643329
76,0.396850,0.641393
77,0.399099,0.618946
78,0.398570,0.666251
79,0.397292,0.639905
80,0.397546,0.631583
81,0.397413,0.642065
82,0.399012,0.599478
83,0.478631,0.831835
84,0.445311,0.580407
85,0.398466,0.623676
86,0.397640,0.640038
87,0.395815,0.622417
88,0.395419,0.664790
89,0.398125,0.647984
90,0.397640,0.631818
91,0.395909,0.611767
92,0.398064,0.620891
93,0.397887,0.615712
94,0.397074,0.614897
95,0.397144,0.647057
96,0.396336,0.667558
97,0.398100,0.631140
98,0.395853,0.589629
99,0.396562,0.620362
100,0.398355,0.641565
