epoch,train_loss,val_loss
1,0.361531,0.470984
2,0.253069,0.386759
3,0.232769,0.453295
4,0.208826,0.538470
5,0.184076,0.463518
6,0.171047,0.352214
7,0.160274,0.423443
8,0.147942,0.405955
9,0.140499,0.469743
10,0.140132,0.379084
11,0.136911,0.371592
12,0.129865,0.410000
13,0.135820,0.686142
14,0.138022,0.347716
15,0.127639,0.347714
16,0.176509,0.426994
17,0.156087,0.472235
18,0.129880,0.383555
19,0.140941,0.495368
20,0.129316,0.418619
21,0.113311,0.399473
22,0.115846,0.452077
23,0.129074,0.434960
24,0.125617,0.456553
25,0.117028,0.389295
26,0.111852,0.361919
27,0.105068,0.425728
28,0.117289,0.414459
29,0.118397,0.422610
30,0.115077,0.399961
31,0.096846,0.390662
32,0.112315,0.568960
33,0.109176,0.427313
34,0.090851,0.368063
35,0.094254,0.376784
36,0.090376,0.400400
37,0.092477,0.387649
38,0.083164,0.447879
39,0.136464,0.593841
40,0.196146,0.410977
41,0.162161,0.465438
42,0.138259,0.453439
43,0.128865,0.467257
44,0.106257,0.423494
45,0.108505,0.349977
46,0.096102,0.416837
47,0.116560,0.381110
48,0.094628,0.417345
49,0.154311,0.359686
50,0.137544,0.359897
51,0.105627,0.402428
52,0.153121,0.432827
53,0.145904,0.365747
54,0.102562,0.555629
55,0.120631,0.414406
56,0.098592,0.396248
57,0.096152,0.445670
58,0.082832,0.428524
59,0.109100,0.395319
60,0.095437,0.491021
61,0.146728,0.483879
62,0.104812,0.488230
63,0.092199,0.497811
64,0.088470,0.425881
65,0.100958,0.446589
66,0.090373,0.449101
67,0.083235,0.414866
68,0.085019,0.499097
69,0.086561,0.392775
70,0.083048,0.443164
71,0.079631,0.433917
72,0.084344,0.461161
73,0.076339,0.538586
74,0.078291,0.434977
75,0.077316,0.444329
76,0.070303,0.441214
77,0.077821,0.458716
78,0.070892,0.465336
79,0.074767,0.444082
80,0.072121,0.469245
81,0.065816,0.495075
82,0.067264,0.485975
83,0.081085,0.451461
84,0.078332,0.456533
85,0.064873,0.438986
86,0.065172,0.473655
87,0.072628,0.473424
88,0.109468,0.498328
89,0.199574,0.594611
90,0.144726,0.373082
91,0.100959,0.420203
92,0.115183,0.537211
93,0.130924,0.466204
94,0.089737,0.439296
95,0.075534,0.447116
