epoch,train_loss,val_loss
1,0.480740,0.468794
2,0.287931,0.450616
3,0.250801,0.379949
4,0.239373,0.425944
5,0.222145,0.382708
6,0.195188,0.545648
7,0.178413,0.527943
8,0.174927,0.594928
9,0.161249,0.668517
10,0.154810,0.656701
11,0.151959,0.617569
12,0.142377,0.673678
13,0.133790,0.701121
14,0.131744,0.802167
15,0.128266,0.776523
16,0.125567,0.743338
17,0.116221,0.737402
18,0.114519,0.728799
19,0.121526,0.711751
20,0.114298,0.662651
21,0.103812,0.684851
22,0.115870,0.701696
23,0.104532,0.688757
24,0.097985,0.741470
25,0.090784,0.701098
26,0.096397,0.665598
27,0.095242,0.747746
28,0.105299,0.493883
29,0.088021,0.699952
30,0.081018,0.708695
31,0.099012,0.448760
32,0.082336,0.664115
33,0.108293,0.733749
34,0.083690,0.695655
35,0.086165,0.692675
36,0.161576,0.456769
37,0.137975,0.616334
38,0.109915,0.490549
39,0.097448,0.623610
40,0.094618,0.369186
41,0.109011,0.775360
42,0.088025,0.755647
43,0.074263,0.753255
44,0.069322,0.704252
45,0.101975,0.654905
46,0.088672,0.716410
47,0.074675,0.506870
48,0.097657,0.511329
49,0.073675,0.550482
50,0.065633,0.684648
51,0.101348,0.411631
52,0.106688,0.730010
53,0.182706,0.532335
54,0.125431,0.718937
55,0.097605,0.795507
56,0.087646,0.706738
57,0.119209,0.826633
58,0.103355,0.780476
59,0.079912,0.738398
60,0.072811,0.770959
61,0.073073,0.536170
62,0.069528,0.729934
63,0.063789,0.753353
64,0.064972,0.564722
65,0.067418,0.592153
66,0.065254,0.510267
67,0.066961,0.513998
68,0.061259,0.416073
69,0.055287,0.497949
70,0.055852,0.438700
71,0.058165,0.459864
72,0.054935,0.430276
73,0.060140,0.405858
74,0.054450,0.504762
75,0.052656,0.478337
76,0.087284,0.550985
77,0.075997,0.596008
78,0.068331,0.535275
79,0.069248,0.424529
80,0.054713,0.462230
81,0.051813,0.496896
82,0.048612,0.554947
83,0.047741,0.467631
84,0.052284,0.478810
85,0.051045,0.450716
86,0.047933,0.466531
87,0.053926,0.424738
88,0.078623,0.438507
89,0.062712,0.421887
90,0.095057,0.407329
