epoch,train_loss,val_loss
1,0.384519,0.431139
2,0.257667,0.389463
3,0.251844,0.346098
4,0.202979,0.435307
5,0.193061,0.505314
6,0.173411,0.427484
7,0.178126,0.424145
8,0.161037,0.462400
9,0.161025,0.368576
10,0.153305,0.467718
11,0.143630,0.546343
12,0.138953,0.502910
13,0.128087,0.510298
14,0.127840,0.538760
15,0.121701,0.432963
16,0.115140,0.419430
17,0.123578,0.418199
18,0.102956,0.423498
19,0.110448,0.402635
20,0.149965,0.512757
21,0.117215,0.427411
22,0.108060,0.390272
23,0.116944,0.461039
24,0.088605,0.479743
25,0.138988,0.428079
26,0.094058,0.439262
27,0.088337,0.440190
28,0.078865,0.426851
29,0.087975,0.436368
30,0.089761,0.441813
31,0.096465,0.519818
32,0.094143,0.423730
33,0.082513,0.485823
34,0.070132,0.499461
35,0.137650,0.488521
36,0.087284,0.520613
37,0.121105,0.417936
38,0.096744,0.463180
39,0.124672,0.411206
40,0.092656,0.412578
41,0.072534,0.406103
42,0.075596,0.419792
43,0.072080,0.412358
44,0.063984,0.418582
45,0.094129,0.474587
46,0.077468,0.450481
47,0.064211,0.411061
48,0.059711,0.438038
49,0.064976,0.425541
50,0.066972,0.425245
51,0.060274,0.443043
52,0.058830,0.447270
53,0.057247,0.439621
54,0.076552,0.404388
55,0.064553,0.464334
56,0.056581,0.454977
57,0.055890,0.514620
58,0.054139,0.452392
59,0.048623,0.465865
60,0.090910,0.526453
61,0.057450,0.486431
62,0.061121,0.492811
63,0.047593,0.484308
64,0.045776,0.477289
65,0.047134,0.527205
66,0.053090,0.484625
67,0.108750,0.529101
68,0.077845,0.634944
69,0.090348,0.598405
70,0.066045,0.561032
71,0.063097,0.542862
72,0.055923,0.559349
73,0.051676,0.577765
74,0.051857,0.590261
75,0.152782,0.524068
76,0.120371,0.503607
77,0.076501,0.591427
78,0.086382,0.516202
79,0.066366,0.513646
80,0.060159,0.490244
