epoch,train_loss,val_loss
1,0.382449,0.385755
2,0.255923,0.395660
3,0.241552,0.390573
4,0.240817,0.372508
5,0.235932,0.380534
6,0.228481,0.422822
7,0.225092,0.421332
8,0.209795,0.681343
9,0.211151,0.555693
10,0.197031,0.610146
11,0.192846,0.627812
12,0.196392,0.455403
13,0.196039,0.586283
14,0.191047,0.555766
15,0.187077,0.653322
16,0.187596,0.598155
17,0.187675,0.546703
18,0.186480,0.557884
19,0.182704,0.496145
20,0.182739,0.667502
21,0.181501,0.631139
22,0.182855,0.534338
23,0.179707,0.522412
24,0.181212,0.535634
25,0.183294,0.528554
26,0.183400,0.540081
27,0.180121,0.485540
28,0.175801,0.555541
29,0.174631,0.524479
30,0.175559,0.550704
31,0.186664,0.546012
32,0.176992,0.634487
33,0.174290,0.547467
34,0.178148,0.546808
35,0.171874,0.536599
36,0.173402,0.560998
37,0.183784,0.510875
38,0.175202,0.561683
39,0.171951,0.544929
40,0.174082,0.563592
41,0.173862,0.560331
42,0.163911,0.562941
43,0.160863,0.627948
44,0.161017,0.611667
45,0.170344,0.596423
46,0.164110,0.579422
47,0.157634,0.557276
48,0.156576,0.589019
49,0.155659,0.591880
50,0.156486,0.597845
51,0.155028,0.604777
52,0.158723,0.600840
53,0.157203,0.594154
54,0.159863,0.610567
55,0.150611,0.588163
56,0.151429,0.626091
57,0.205581,0.557148
58,0.178887,0.571862
59,0.164162,0.585367
60,0.160993,0.564193
61,0.153001,0.605265
62,0.153576,0.616083
63,0.148975,0.582289
64,0.151803,0.596998
65,0.149331,0.638357
66,0.149660,0.623432
67,0.147494,0.589916
68,0.148410,0.662826
69,0.143943,0.584759
70,0.151151,0.612391
71,0.144107,0.573315
72,0.144952,0.605457
73,0.145449,0.603236
74,0.146893,0.601182
75,0.148547,0.607313
76,0.146331,0.620089
77,0.149957,0.593528
78,0.142043,0.617514
79,0.142419,0.601436
80,0.139848,0.612514
81,0.140780,0.605237
82,0.142451,0.626131
83,0.153844,0.566985
84,0.144540,0.617144
85,0.137136,0.631716
86,0.139799,0.636538
87,0.139727,0.633938
