epoch,train_loss,val_loss
1,0.298857,0.390948
2,0.122752,0.266004
3,0.069562,0.317835
4,0.046086,0.294237
5,0.040824,0.302907
6,0.039661,0.327803
7,0.036748,0.304243
8,0.031848,0.307825
9,0.030551,0.284941
10,0.034393,0.264560
11,0.031876,0.286519
12,0.030426,0.280025
13,0.030480,0.277857
14,0.025998,0.278768
15,0.025667,0.283872
16,0.026120,0.293187
17,0.029190,0.283106
18,0.027941,0.273156
19,0.026275,0.279803
20,0.028021,0.276959
21,0.024304,0.280901
22,0.025262,0.284988
23,0.026257,0.283583
24,0.025536,0.288568
25,0.022847,0.287901
26,0.023110,0.283243
27,0.023910,0.287711
28,0.033838,0.274276
29,0.048932,0.298232
30,0.027109,0.289590
31,0.024350,0.297907
32,0.025743,0.287647
33,0.024166,0.292778
34,0.024405,0.304619
35,0.024339,0.283804
36,0.023670,0.316670
37,0.021695,0.282264
38,0.023113,0.299261
39,0.021545,0.291086
40,0.021871,0.315997
41,0.023966,0.292235
42,0.023937,0.305885
43,0.024658,0.287122
44,0.022310,0.286269
45,0.021405,0.301987
46,0.028045,0.273186
47,0.026119,0.334756
48,0.023582,0.307964
49,0.020880,0.342118
50,0.019609,0.301194
51,0.020874,0.308528
52,0.023662,0.276033
53,0.024334,0.318650
54,0.021331,0.307878
55,0.031519,0.272698
56,0.029586,0.305689
57,0.022359,0.314842
58,0.021550,0.315822
59,0.020715,0.304983
60,0.022002,0.369975
61,0.021920,0.289488
62,0.027114,0.305275
63,0.404735,0.305070
64,0.523263,0.980748
65,0.811333,0.302740
66,0.709147,0.428890
67,0.571301,0.440098
68,0.542492,0.583522
69,0.563489,0.546425
70,0.571875,0.552694
71,0.571288,0.572281
72,0.567724,0.490506
73,0.423183,0.303095
74,0.181781,0.314467
75,0.134144,0.297123
76,0.127853,0.293261
77,0.126475,0.275254
78,0.121774,0.277049
79,0.117905,0.295634
80,0.118268,0.268254
