epoch,train_loss,val_loss
1,0.300155,0.564351
2,0.139937,0.462523
3,0.087177,0.347678
4,0.057211,0.368227
5,0.049741,0.433388
6,0.048904,0.365971
7,0.043928,0.425122
8,0.081171,0.303423
9,0.089653,0.422550
10,0.038302,0.459714
11,0.035689,0.466286
12,0.034313,0.415248
13,0.031937,0.426850
14,0.031650,0.410685
15,0.030338,0.414862
16,0.034199,0.377721
17,0.031803,0.425121
18,0.026900,0.436647
19,0.033840,0.419194
20,0.028000,0.403708
21,0.028017,0.414501
22,0.030190,1.421401
23,0.376086,0.440717
24,0.136522,0.482149
25,0.127462,0.605926
26,0.176194,0.331343
27,0.112397,0.336472
28,0.069173,0.321709
29,0.053350,0.344896
30,0.066233,0.305924
31,0.068177,0.328619
32,0.048791,0.392483
33,0.044615,0.352322
34,0.042397,0.343141
35,0.038724,0.349728
36,0.034299,0.355747
37,0.036477,0.360186
38,0.034095,0.381058
39,0.031741,0.413235
40,0.030772,0.388118
41,0.028633,0.391854
42,0.029160,0.426480
43,0.027079,0.412965
44,0.028311,0.386033
45,0.026960,0.365059
46,0.029110,0.420435
47,0.027929,0.413884
48,0.029706,0.440544
49,0.035213,0.421232
50,0.027000,0.467834
51,0.027773,0.443212
52,0.028185,0.413514
53,0.026375,0.460572
54,0.027544,0.438469
55,0.027856,0.431642
56,0.024964,0.451828
57,0.026278,0.420940
58,0.028275,0.459573
59,0.027607,0.392549
60,0.029770,0.491556
61,0.027759,0.379453
62,0.027979,0.437838
63,0.025626,0.425339
64,0.025609,0.389726
65,0.026339,0.396535
66,0.024641,0.423584
67,0.027834,0.411077
68,0.030848,0.382660
69,0.025518,0.414455
70,0.026703,0.388038
71,0.029832,0.411671
72,0.024408,0.426233
73,0.029072,0.476004
74,0.041936,0.457031
75,0.027173,0.452970
76,0.027863,0.381804
77,0.026567,0.393829
78,0.024543,0.420692
79,0.024558,0.429857
80,0.022471,0.408750
