epoch,train_loss,val_loss
1,0.335544,0.302381
2,0.150819,0.360478
3,0.088001,0.252688
4,0.052310,0.322830
5,0.040412,0.317075
6,0.034826,0.346516
7,0.037898,0.297098
8,0.038072,0.331227
9,0.032473,0.315876
10,0.049265,0.296013
11,0.032276,0.307642
12,0.032482,0.292467
13,0.029898,0.332524
14,0.027797,0.315093
15,0.031957,0.377402
16,0.030606,0.332547
17,0.026971,0.342635
18,0.025681,0.382080
19,0.026778,0.348363
20,0.030138,0.392734
21,0.024829,0.384949
22,0.026012,0.305992
23,0.027829,0.370787
24,0.031571,0.383525
25,0.024954,0.383278
26,0.042258,0.362758
27,0.024346,0.362332
28,0.023191,0.373945
29,0.023019,0.353976
30,0.024972,0.323916
31,0.022162,0.383218
32,0.022666,0.365340
33,0.037837,0.478882
34,0.030584,0.439197
35,0.026186,0.412962
36,0.024171,0.425400
37,0.025662,0.377500
38,0.032433,0.386394
39,0.023932,0.368145
40,0.021723,0.404403
41,0.021483,0.402482
42,0.021515,0.370063
43,0.024878,0.431704
44,0.022327,0.361210
45,0.026035,0.424900
46,0.030272,0.358844
47,0.022130,0.406652
48,0.023662,0.395196
49,0.023084,0.406509
50,0.025056,0.326779
51,0.022965,0.413721
52,0.025943,0.442566
53,0.022067,0.437727
54,0.130778,1.012771
55,0.868924,0.628225
56,0.873214,0.697460
57,0.891618,0.754542
58,0.888067,0.916241
59,0.890961,0.677219
60,0.900590,0.653266
61,0.920649,0.663434
62,0.944343,0.582570
63,0.939918,0.581058
64,0.940271,0.605565
65,0.946728,0.613855
66,0.944865,0.621233
67,0.940628,0.478177
68,0.942085,0.519512
69,0.937268,0.592509
70,0.940293,0.421388
71,0.940527,0.524632
72,0.944326,0.527523
73,0.940364,0.597206
74,0.941059,0.696466
75,0.941036,0.535934
76,0.939544,0.576215
77,0.939047,0.715748
78,0.943061,0.653608
79,0.940825,0.598414
80,0.938743,0.661917
