epoch,train_loss,val_loss
1,0.310182,0.338816
2,0.108981,0.310647
3,0.095464,0.352068
4,0.093295,0.329845
5,0.073009,0.318243
6,0.081113,0.292156
7,0.070178,0.301741
8,0.205063,0.306370
9,0.098414,0.307309
10,0.080006,0.293690
11,0.072321,0.313250
12,0.064011,0.300565
13,0.063943,0.298122
14,0.062517,0.306733
15,0.057770,0.305496
16,0.059552,0.351120
17,0.057780,0.321884
18,0.052420,0.306451
19,0.133183,0.322475
20,0.100595,0.289854
21,0.144120,0.287332
22,0.146205,0.334894
23,0.100276,0.289345
24,0.091308,0.287499
25,0.078929,0.306900
26,0.076859,0.305302
27,0.059237,0.296096
28,0.045262,0.337112
29,0.070083,0.299075
30,0.067798,0.303854
31,0.051875,0.321501
32,0.062834,0.304607
33,0.049005,0.314894
34,0.051619,0.297119
35,0.050636,0.317901
36,0.046099,0.300489
37,0.040558,0.303234
38,0.042782,0.303996
39,0.044133,0.309575
40,0.052041,0.291366
41,0.046517,0.316647
42,0.397302,1.019616
43,0.667677,0.322063
44,0.499599,0.310317
45,0.476196,0.316781
46,0.468367,0.330575
47,0.469722,0.352616
48,0.458518,0.367283
49,0.459267,0.401229
50,0.453551,0.440046
51,0.452222,0.500917
52,0.452311,0.553207
53,0.449920,0.602675
54,0.455696,0.642417
55,0.459776,0.788006
56,0.481899,0.283140
57,0.463355,0.285432
58,0.453345,0.288287
59,0.452830,0.283166
60,0.447634,0.290199
61,0.442319,0.283478
62,0.441991,0.285369
63,0.699625,0.340266
64,0.981934,1.764987
65,0.924721,1.614016
66,0.929611,1.721038
67,0.930381,1.671309
68,0.939169,1.681243
69,0.940408,2.054491
70,0.957722,2.162900
71,0.970090,1.799190
72,0.929175,0.333582
73,0.722406,0.286553
74,0.657422,1.696031
75,0.914723,0.844573
76,0.877027,0.729701
77,0.876283,0.794515
78,0.872617,0.997467
79,0.875228,0.930940
80,0.866729,0.813909
81,0.880017,0.283246
82,0.815367,0.286732
83,0.809944,0.285782
84,0.801893,0.300034
85,0.801120,0.285238
86,0.785458,0.287842
87,0.770053,0.300934
88,0.778313,0.283724
89,0.745515,0.286653
90,0.735392,0.287561
91,0.733593,0.297330
92,0.730225,0.285083
93,0.771133,0.318816
94,0.804893,1.482750
95,0.619395,1.878357
96,0.623812,2.126909
97,0.632698,2.138486
98,0.645364,2.057568
99,0.656096,2.173402
100,0.670920,2.120608
101,0.695134,2.087206
102,0.721586,2.037864
103,1.028793,0.362547
104,1.016682,0.320555
105,0.916246,0.964489
106,0.636927,1.652738
