epoch,train_loss,val_loss
1,0.573292,0.470576
2,0.201546,0.337445
3,0.169100,0.427003
4,0.134909,0.314119
5,0.103259,0.340033
6,0.120584,0.304243
7,0.084746,0.300274
8,0.092737,0.310331
9,0.088749,0.310068
10,0.076085,0.298452
11,0.076822,0.295168
12,0.115183,0.307138
13,0.760278,0.293734
14,0.630287,0.327724
15,0.511172,0.345336
16,0.497349,0.345391
17,0.494845,0.357446
18,0.488268,0.348329
19,0.482694,0.347641
20,0.478797,0.357289
21,0.477204,0.346018
22,0.474727,0.336249
23,0.472031,0.283624
24,0.468162,0.284722
25,0.448486,0.294516
26,0.431505,0.307374
27,0.411690,0.523146
28,0.579559,1.848891
29,0.496803,0.810907
30,0.468610,0.577532
31,0.445851,0.549567
32,0.442627,0.558884
33,0.442041,0.548032
34,0.442694,0.558615
35,0.442723,0.587308
36,0.443739,0.594905
37,0.441267,0.610498
38,0.439345,0.623943
39,0.440274,0.609167
40,0.439266,0.612133
41,0.439629,0.611253
42,0.438237,0.631795
43,0.435120,2.548141
44,0.416837,1.788626
45,0.407700,0.901745
46,0.396420,1.365714
47,0.394451,1.284004
48,0.395578,0.720481
49,0.394853,0.934172
50,0.381968,0.292795
51,0.281686,0.284643
52,0.208448,0.281101
53,0.178295,0.262664
54,0.146368,0.241065
55,0.131151,0.244753
56,0.134166,0.258122
57,0.139721,0.261001
58,0.122744,0.276592
59,0.109264,0.317336
60,0.111888,0.313806
61,0.112578,0.338029
62,0.115479,0.260128
63,0.115748,0.280258
64,0.120382,0.468549
65,0.122680,0.264068
66,0.110807,0.270863
67,0.101744,0.424831
68,0.116628,0.314489
69,0.103593,0.266937
70,0.111774,0.260871
71,0.103094,0.306488
72,0.102198,0.287313
73,0.108538,0.303823
74,0.105298,0.255397
75,0.096474,0.266572
76,0.106606,0.321555
77,0.093411,0.280975
78,0.120708,0.269211
79,0.108423,0.289289
80,0.096318,0.270737
81,0.090817,0.280093
82,0.118759,0.325068
83,0.110295,0.295099
84,0.094539,0.285443
85,0.087600,0.289369
86,0.090549,0.313418
87,0.086550,0.280055
88,0.089763,0.291077
89,0.094485,0.288300
90,0.091801,0.303745
91,0.098410,0.314801
92,0.098102,0.365086
93,0.093391,0.324495
94,0.081377,0.303521
95,0.091081,0.309466
96,0.091841,0.303261
97,0.078818,0.306067
98,0.080966,0.305474
99,0.078972,0.289524
100,0.080547,0.287149
101,0.084389,0.325216
102,0.112977,0.289189
103,0.100768,0.286640
104,0.081169,0.308294
