epoch,train_loss,val_loss
1,0.274027,0.319645
2,0.115344,0.310585
3,0.092871,0.314331
4,0.077418,0.315879
5,0.069810,0.312747
6,0.061404,0.306507
7,0.052550,0.302743
8,0.062588,0.298361
9,0.048081,0.321113
10,0.081931,0.662960
11,0.115844,0.316502
12,0.080584,0.301167
13,0.067956,0.297252
14,0.061420,0.313331
15,0.058143,0.308214
16,0.061141,0.304603
17,0.057908,0.330100
18,0.051409,0.315298
19,0.050774,0.343086
20,0.046547,0.308019
21,0.058369,0.306185
22,0.049682,0.339491
23,0.040795,0.332536
24,0.042149,0.353212
25,0.062096,0.302958
26,0.040670,0.345744
27,0.041887,0.299968
28,0.041563,0.313953
29,0.039224,0.313605
30,0.241019,0.296105
31,0.126564,0.305875
32,0.072477,0.300854
33,0.068532,0.301435
34,0.062839,0.303147
35,0.064776,0.311198
36,0.057169,0.304386
37,0.058731,0.306724
38,0.058794,0.315045
39,0.059064,0.315888
40,0.058632,0.328017
41,0.201619,0.288673
42,0.112661,0.290730
43,0.082483,0.311006
44,0.072156,0.306208
45,0.071505,0.300871
46,0.061647,0.301090
47,0.065970,0.308009
48,0.057899,0.314748
49,0.060490,0.321686
50,0.055995,0.337612
51,0.060699,0.324645
52,0.084232,0.307889
53,0.098228,0.292530
54,0.079589,0.295738
55,0.074522,0.315306
56,0.064566,0.311778
57,0.081015,0.304288
58,0.079015,0.334048
59,0.097384,0.659536
60,0.194623,0.308483
61,0.183040,0.301772
62,0.142858,0.269327
63,0.397066,0.471641
64,0.197596,0.273764
65,0.121905,0.295152
66,0.091132,0.294201
67,0.099113,0.304525
68,0.069336,0.296746
69,0.198964,0.831652
70,0.307523,0.407251
71,0.482148,0.832967
72,0.481838,0.833815
73,0.479879,0.803471
74,0.479199,0.894709
75,0.478495,0.869331
76,0.480706,0.886919
77,0.479437,0.971695
78,0.482058,1.013115
79,0.481558,1.073826
80,0.479335,1.106722
81,0.374946,0.354998
82,0.240147,0.482007
83,0.119565,0.246554
84,0.102794,0.247704
85,0.091233,0.266350
86,0.094362,0.285246
87,0.091669,0.259435
88,0.078938,0.254939
89,0.082435,0.266273
90,0.084183,0.248336
91,0.076218,0.252806
92,0.065820,0.289922
93,0.063718,0.265069
94,0.058469,0.314191
95,0.055410,0.305750
96,0.053633,0.266007
97,0.050603,0.322441
98,0.052045,0.295930
99,0.047215,0.320756
100,0.048583,0.347950
101,0.045920,0.345260
102,0.049453,0.398615
103,0.052496,0.403285
104,0.044168,0.321924
105,0.046904,0.320154
106,0.045609,0.349244
107,0.043476,0.384097
108,0.046077,0.375299
109,0.045998,0.373240
110,0.041816,0.371647
111,0.046496,0.363726
112,0.055961,0.353109
113,0.044303,0.368698
114,0.042424,0.410591
115,0.039084,0.351598
116,0.043388,0.350501
117,0.040054,0.434508
118,0.045052,0.378862
119,0.039569,0.385300
120,0.036972,0.379995
121,0.046692,0.378636
122,0.040285,0.368756
123,0.043608,0.391196
124,0.038941,0.360811
125,0.041377,0.386627
126,0.046128,0.364602
127,0.040202,0.401228
128,0.037330,0.410229
129,0.040451,0.308112
130,0.043639,0.437841
131,0.044274,0.378808
132,0.043298,0.450912
133,0.037247,0.398005
