epoch,train_loss,val_loss
1,0.266961,0.300919
2,0.098501,0.324814
3,0.079814,0.311258
4,0.073731,0.293211
5,0.064656,0.423948
6,0.073957,0.311156
7,0.052201,0.292391
8,0.060902,0.283851
9,0.049964,0.292874
10,0.049962,0.284711
11,0.059178,0.284840
12,0.053220,0.285165
13,0.052968,0.342716
14,0.057988,0.286850
15,0.052044,0.294694
16,0.048449,0.285931
17,0.061836,0.282842
18,0.051441,0.308318
19,0.067444,0.292737
20,0.050618,0.292887
21,0.049182,0.294096
22,0.054349,0.283871
23,0.047917,0.297234
24,0.048893,0.283825
25,0.043762,0.289359
26,0.051927,0.290029
27,0.051374,0.281943
28,0.044706,0.326507
29,0.055746,0.286560
30,0.058260,0.291727
31,0.049590,0.319460
32,0.063477,0.291548
33,0.046419,0.288479
34,0.047478,0.325404
35,0.078923,0.278848
36,0.048646,0.296892
37,0.044925,0.287979
38,0.045596,0.299079
39,0.048082,0.306284
40,0.065210,0.279455
41,0.052528,0.307181
42,0.049511,0.319089
43,0.046510,0.302124
44,0.050359,0.295339
45,0.049433,0.287575
46,0.046300,0.290266
47,0.045530,0.308082
48,0.045242,0.296400
49,0.048740,0.300523
50,0.045720,0.310408
51,0.050005,0.292833
52,0.043258,0.292614
53,0.043822,0.303219
54,0.043341,0.328890
55,0.056275,0.315938
56,0.053898,0.296237
57,0.040972,0.328030
58,0.061808,0.296851
59,0.051346,0.313516
60,0.041986,0.286441
61,0.046282,0.301177
62,0.052033,0.291287
63,0.044085,0.287538
64,0.043697,0.309814
65,0.049861,0.291887
66,0.041503,0.295971
67,0.045486,0.313197
68,0.054201,0.293368
69,0.044227,0.287382
70,0.048950,0.290599
71,0.040741,0.296954
72,0.146649,0.286625
73,0.072313,0.355312
74,0.061782,0.363175
75,0.060358,0.390605
76,0.051607,0.349654
77,0.050137,0.373642
78,0.049531,0.340271
79,0.046593,0.323003
80,0.060105,0.301453
81,0.049270,0.312993
82,0.044335,0.335368
83,0.059524,0.341060
84,0.043457,0.333371
85,0.046455,0.310239
