epoch,train_loss,val_loss
1,0.486396,2.580807
2,0.349889,0.395590
3,0.194135,0.395827
4,0.151693,0.277979
5,0.143507,0.536564
6,0.113357,0.276473
7,0.128961,0.298057
8,0.149185,0.300364
9,0.089811,0.284087
10,0.081652,0.303663
11,0.093945,0.680023
12,0.099621,0.288037
13,0.087988,0.305359
14,0.072804,0.297184
15,0.061029,0.302608
16,0.073182,0.370357
17,0.061474,0.284304
18,0.081639,0.294050
19,0.057694,0.284966
20,0.052389,0.312627
21,0.065688,0.294033
22,0.059247,0.511668
23,0.110770,0.302549
24,0.077225,0.321977
25,0.074023,0.328058
26,0.069774,0.290108
27,0.056194,0.294873
28,0.061604,0.379846
29,0.074356,0.299400
30,0.064269,0.308052
31,0.072775,0.290756
32,0.058228,0.298044
33,0.073967,0.293987
34,0.053834,0.334411
35,0.074168,0.343982
36,0.057385,0.308440
37,0.057533,0.297015
38,0.064040,0.308555
39,0.078595,0.298430
40,0.059554,0.318009
41,0.057276,0.321017
42,0.057172,0.312753
43,0.063042,0.303343
44,0.052714,0.336032
45,0.103895,0.285422
46,0.076390,0.303589
47,0.092583,0.377086
48,0.079426,0.287454
49,0.056438,0.304076
50,0.058634,0.304115
51,0.049230,0.321860
52,0.090225,0.341621
53,0.057746,0.309509
54,0.053936,0.316130
55,0.050900,0.317283
56,0.052928,0.323413
57,0.054166,0.307537
58,0.050886,0.313881
59,0.090988,0.335401
60,0.070597,0.309012
61,0.054559,0.309564
62,0.051987,0.302590
63,0.065367,0.328915
64,0.058913,0.322188
65,0.062281,0.295374
66,0.058224,0.319284
67,0.048481,0.306182
68,0.053577,0.340032
69,0.059529,0.313772
70,0.072249,0.322279
71,0.051637,0.323974
72,0.045565,0.317560
73,0.061769,0.311683
74,0.052066,0.481426
75,0.246111,0.293357
76,0.128408,0.255927
77,0.112874,0.256677
78,0.105864,0.260096
79,0.110928,0.247697
80,0.114561,0.253232
81,0.109945,0.355255
82,0.108739,0.271932
83,0.105142,0.281751
84,0.097791,0.285948
85,0.100415,0.355580
86,0.171916,0.349548
87,0.117360,0.239350
88,0.104693,0.267758
89,0.107886,0.411579
90,0.109738,0.252837
91,0.097385,0.309802
92,0.098231,0.266108
93,0.098488,0.314843
94,0.096138,0.271547
95,0.096679,0.249359
96,0.124312,0.301814
97,0.110385,0.304667
98,0.099562,0.282930
99,0.101664,0.321214
100,0.095475,0.358889
101,0.097384,0.252882
102,0.096757,0.379073
103,0.098103,0.271127
104,0.096995,0.347128
105,0.120520,0.269855
106,0.106145,0.257991
107,0.109205,0.287762
108,0.102722,0.285823
109,0.092902,0.262026
110,0.103771,0.325355
111,0.104144,0.371217
112,0.144292,0.255236
113,0.122022,0.307014
114,0.098726,0.275254
115,0.098149,0.299255
116,0.094980,0.315039
117,0.096494,0.272220
118,0.094258,0.301019
119,0.101062,0.282004
120,0.102763,0.258939
121,0.099777,0.409203
122,0.112696,0.348625
123,0.095885,0.340731
124,0.103829,0.292878
125,0.094948,0.342830
126,0.103975,0.315338
127,0.090284,0.261946
128,0.100501,0.286940
129,0.126987,0.287685
130,0.096999,0.307832
131,0.091016,0.303719
132,0.093819,0.351124
133,0.096000,0.337912
134,0.093849,0.302766
135,0.093279,0.266336
136,0.117497,0.313696
137,0.092804,0.354886
