epoch,train_loss,val_loss
1,0.372921,0.708718
2,0.157601,0.491088
3,0.112447,0.310627
4,0.091639,0.312952
5,0.080905,0.285528
6,0.074849,0.284464
7,0.067892,0.291146
8,0.082140,0.303823
9,0.060738,0.283200
10,0.058143,0.315347
11,0.068048,0.288655
12,0.059510,0.288994
13,0.063843,0.286137
14,0.056145,0.308307
15,0.067402,0.310464
16,0.057606,0.284973
17,0.060474,0.281783
18,0.060663,0.282233
19,0.061939,0.284138
20,0.053401,0.292041
21,0.067483,0.294892
22,0.058332,0.290266
23,0.050921,0.281249
24,0.056223,0.280365
25,0.061162,0.349083
26,0.060311,0.293210
27,0.063777,0.283346
28,0.050243,0.281022
29,0.058708,0.284144
30,0.070941,0.306233
31,0.052122,0.285039
32,0.053459,0.283301
33,0.058870,0.283744
34,0.047147,0.290104
35,0.085449,0.275722
36,0.084991,0.276734
37,0.053632,0.283954
38,0.047654,0.283860
39,0.047312,0.291432
40,0.054058,0.287608
41,0.063539,0.277604
42,0.064606,0.283679
43,0.049666,0.288304
44,0.049010,0.284433
45,0.055657,0.323006
46,0.069022,0.299256
47,0.047884,0.285041
48,0.044691,0.294108
49,0.047769,0.290131
50,0.059872,0.280469
51,0.048971,0.283383
52,0.053451,0.302448
53,0.057317,0.287285
54,0.051813,0.292186
55,0.049649,0.321735
56,0.049235,0.299689
57,0.046312,0.297243
58,0.072810,0.300562
59,0.047639,0.288457
60,0.047648,0.293439
61,0.046547,0.299067
62,0.051111,0.293439
63,0.049939,0.299201
64,0.057481,0.282908
65,0.050867,0.291514
66,0.051636,0.298769
67,0.049612,0.289539
68,0.052940,0.292653
69,0.045787,0.296449
70,0.042161,0.314790
71,0.059606,0.310190
72,0.054027,0.296890
73,0.043324,0.294128
74,0.052911,0.294663
75,0.143965,0.277917
76,0.067296,0.288664
77,0.050737,0.289957
78,0.049751,0.292713
79,0.050344,0.296393
80,0.050239,0.290729
81,0.051969,0.299479
82,0.048719,0.286614
83,0.043161,0.293817
84,0.055460,0.306342
85,0.050370,0.291698
