epoch,train_loss,val_loss
1,0.502181,0.364632
2,0.176647,0.378256
3,0.147648,0.326462
4,0.145141,0.499219
5,0.116807,0.339072
6,0.094443,0.423750
7,0.137894,0.341627
8,0.094909,0.354445
9,0.091246,0.342538
10,0.079065,0.325835
11,0.082083,0.308945
12,0.075575,0.315347
13,0.170684,0.310685
14,0.095414,0.413112
15,0.082159,0.376225
16,0.071415,0.365300
17,0.069552,0.364284
18,0.080601,0.295199
19,0.064131,0.310427
20,0.064761,0.487511
21,0.077533,0.330981
22,0.077662,0.293130
23,0.645880,0.329015
24,0.626168,0.561859
25,0.463314,1.350313
26,0.311201,0.377258
27,0.193384,0.344829
28,0.158274,0.261991
29,0.134447,0.253303
30,0.130413,0.220804
31,0.118665,0.218423
32,0.117270,0.267219
33,0.114071,0.239096
34,0.115199,0.277791
35,0.109457,0.268584
36,0.111642,0.216254
37,0.119007,0.382989
38,0.116058,0.234117
39,0.120218,0.353351
40,0.110051,0.324464
41,0.105387,0.359483
42,0.110209,0.301795
43,0.110278,0.230807
44,0.105773,0.321563
45,0.117102,0.281992
46,0.116584,0.339976
47,0.110349,0.237248
48,0.106531,0.259674
49,0.105279,0.395346
50,0.132854,0.416161
51,0.123577,0.326808
52,0.111841,0.232470
53,0.105154,0.232014
54,0.128293,0.300604
55,0.108162,0.353072
56,0.111964,0.273086
57,0.104592,0.251881
58,0.106789,0.260969
59,0.102543,0.333272
60,0.109575,0.227430
61,0.134919,0.269073
62,0.107820,0.305128
63,0.099028,0.271743
64,0.106458,0.270986
65,0.099431,0.277005
66,0.100323,0.234541
67,0.107083,0.331524
68,0.113063,0.317931
69,0.102270,0.343851
70,0.103144,0.282105
71,0.102501,0.262176
72,0.108937,0.263798
73,0.103099,0.341969
74,0.094444,0.388756
75,0.105581,0.250540
76,0.153231,0.232986
77,0.116408,0.240298
78,0.105450,0.272583
79,0.098081,0.313655
80,0.098069,0.375878
81,0.100485,0.273634
82,0.097908,0.256294
83,0.106077,0.292075
84,0.094877,0.265086
85,0.101227,0.632924
86,0.150721,0.245224
