epoch,train_loss,val_loss
1,0.479243,0.518944
2,0.191929,0.419962
3,0.129069,0.368053
4,0.117519,0.405530
5,0.103806,0.367390
6,0.112137,0.330277
7,0.115657,0.429152
8,0.104903,0.355163
9,0.081695,0.352394
10,0.127880,0.311892
11,0.090724,0.357557
12,0.074467,0.346565
13,0.090426,0.310508
14,0.095061,0.285933
15,0.088906,0.296055
16,0.089439,0.303530
17,0.076366,0.315071
18,0.074437,0.305536
19,0.080470,0.289172
20,0.085543,0.315802
21,0.101323,0.313186
22,0.084695,0.310708
23,0.066086,0.293312
24,0.067694,0.317751
25,0.067153,0.301184
26,0.066780,0.324272
27,0.063989,0.348727
28,0.083993,0.310973
29,0.065663,0.298198
30,0.058384,0.300938
31,0.077109,0.294047
32,0.062077,0.310935
33,0.068601,0.290327
34,0.076192,0.302303
35,0.058551,0.328920
36,0.056873,0.293172
37,0.049406,0.322340
38,0.066627,0.324208
39,0.064200,0.301866
40,0.050413,0.298344
41,0.062554,0.340415
42,0.063711,0.374428
43,0.056579,0.321715
44,0.056659,0.285463
45,0.072911,0.315749
46,0.053041,0.316317
47,0.052036,0.297741
48,0.081645,0.300911
49,0.057393,0.366086
50,0.057269,0.320457
51,0.049950,0.338446
52,0.050003,0.309945
53,0.078759,0.338163
54,0.074750,0.316401
55,0.048307,0.339882
56,0.052097,0.314098
57,0.050813,0.286120
58,0.051159,0.368776
59,0.059030,0.302199
60,0.121562,0.421630
61,0.608714,0.349756
62,0.421744,0.459925
63,0.235259,0.347407
64,0.176832,0.398481
65,0.169582,0.353340
66,0.155212,0.838334
67,0.182547,1.104264
68,0.148625,1.350686
69,0.127940,1.449571
70,0.121376,2.514155
71,0.103160,2.038228
72,0.099785,1.843717
73,0.097109,2.319031
74,0.090777,2.403906
75,0.114523,1.526966
76,0.095188,1.704359
77,0.084774,2.703959
78,0.090390,2.071973
79,0.089712,3.276479
80,0.089552,1.813405
81,0.081442,2.028273
82,0.077956,1.600147
83,0.077529,1.295586
84,0.069598,1.509589
85,0.076035,1.105456
86,0.065514,1.166936
87,0.063586,0.994415
88,0.062657,0.926216
89,0.072011,1.046772
90,0.074211,0.845600
91,0.063242,0.891342
92,0.063971,0.750225
93,0.061364,0.831450
94,0.060710,0.713597
