epoch,train_loss,val_loss
1,0.473881,0.404441
2,0.193306,0.451756
3,0.141782,0.449173
4,0.129540,0.432737
5,0.109277,0.368654
6,0.137169,1.496135
7,0.163062,0.395975
8,0.119387,0.328686
9,0.097694,0.299541
10,0.083913,0.394239
11,0.085471,0.372850
12,0.119698,0.333474
13,0.080975,0.291398
14,0.070739,0.477119
15,0.074049,0.327786
16,0.081649,0.322486
17,0.054916,0.329871
18,0.070584,0.341688
19,0.053172,0.358461
20,0.052563,0.365783
21,0.048039,0.351384
22,0.057530,0.464055
23,0.051544,0.369411
24,0.047225,0.480657
25,0.052186,0.626806
26,0.094140,0.345560
27,0.073097,0.363647
28,0.053641,0.320226
29,0.045897,0.370460
30,0.108778,0.311420
31,0.052206,0.378372
32,0.055875,0.303716
33,0.048804,0.347885
34,0.049803,0.310274
35,0.054045,0.325893
36,0.043777,0.325565
37,0.041635,0.292654
38,0.057477,0.347301
39,0.048200,0.300853
40,0.051380,0.399574
41,0.050787,0.311553
42,0.041203,0.293188
43,0.045515,0.360618
44,0.046088,0.289764
45,0.043294,0.320543
46,0.042100,0.360948
47,0.045381,0.368992
48,0.075934,0.325133
49,0.046861,0.298798
50,0.067534,0.315366
51,0.044620,0.335334
52,0.041451,0.289166
53,0.048687,0.312713
54,0.040367,0.376599
55,0.061030,0.316688
56,0.040478,0.310344
57,0.042737,0.308098
58,0.049481,0.390252
59,0.048492,0.349930
60,0.042478,0.341169
61,0.042828,0.367192
62,0.060356,0.317834
63,0.064816,0.297892
64,0.042473,0.320063
65,0.043813,3.067519
66,0.347314,0.329780
67,0.099387,0.440299
68,0.083061,0.286086
69,0.075191,0.708695
70,0.077644,0.315916
71,0.060607,0.303085
72,0.055133,0.330010
73,0.052039,0.308267
74,0.065580,0.298793
75,0.048252,0.327324
76,0.048573,0.373457
77,0.049472,0.282850
78,0.052475,0.318010
79,0.063479,0.371759
80,0.048259,0.295520
81,0.064127,0.347065
82,0.053308,0.319704
83,0.043403,0.331014
84,0.052540,0.348982
85,0.042928,0.484314
86,0.058624,0.285632
87,0.047797,0.314650
88,0.040366,0.378349
89,0.038933,0.394154
90,0.098564,0.374070
91,0.056951,0.444461
92,0.053795,0.293394
93,0.049134,0.388535
94,0.044451,0.360934
95,0.052548,0.379246
96,0.049752,0.316794
97,0.053093,0.559337
98,0.073592,0.411932
99,0.045242,0.364596
100,0.040945,0.293563
101,0.049011,0.411596
102,0.038519,0.313663
103,0.048581,0.305695
104,0.045168,0.325664
105,0.041699,0.389375
106,0.040802,0.405413
107,0.045154,0.343764
108,0.043774,0.385958
109,0.047076,0.337354
110,0.038331,0.447813
111,0.040706,0.330475
112,0.048875,0.331527
113,0.041159,0.368983
114,0.044539,0.412452
115,0.041702,0.431055
116,0.038590,0.383200
117,0.037284,0.306542
118,0.036477,0.317303
119,0.067888,0.281614
120,0.047580,0.345977
121,0.044887,0.385996
122,0.042066,0.297210
123,0.048347,0.321257
124,0.036553,0.694506
125,0.058149,0.309142
126,0.058314,0.329826
127,0.041051,0.358747
128,0.036314,0.328033
129,0.047999,0.320902
130,0.037966,0.404068
131,0.036098,0.342915
132,0.035812,0.403603
133,0.040930,0.321938
134,0.036133,0.516777
135,0.043073,0.284474
136,0.054106,0.321288
137,0.040942,0.315884
138,0.047872,0.382269
139,0.040860,0.316447
140,0.054439,0.294075
141,0.038703,0.327354
142,0.044276,0.435643
143,0.038320,0.393952
144,0.038000,0.375930
145,0.039955,0.338744
146,0.033919,0.354787
147,0.037001,0.380477
148,0.041700,0.425082
149,0.045784,0.552404
150,0.052339,0.408010
151,0.050338,0.390763
152,0.040477,0.328542
153,0.040391,0.518228
154,0.043065,0.403614
155,0.037172,0.345122
156,0.036908,0.412494
157,0.042604,0.591458
158,0.054368,0.306003
159,0.047032,0.390370
160,0.034539,0.321198
161,0.040895,0.478302
162,0.037962,0.379058
163,0.032210,0.423873
164,0.038940,0.314698
165,0.042678,0.397254
166,0.035580,0.400647
167,0.040633,0.465696
168,0.037848,0.363376
169,0.039939,0.356433
