epoch,train_loss,val_loss
1,0.442871,0.472254
2,0.166057,0.410504
3,0.129819,0.896175
4,0.145472,0.318449
5,0.119103,0.305829
6,0.114738,0.431728
7,0.099993,0.425397
8,0.083458,0.306404
9,0.203458,0.301348
10,0.102067,0.426827
11,0.091834,0.334338
12,0.084951,0.670041
13,0.100892,0.324821
14,0.082802,0.311855
15,0.078436,0.300383
16,0.080261,0.325853
17,0.131992,0.452704
18,0.149787,0.375285
19,0.077664,0.320102
20,0.080118,0.326878
21,0.079381,0.322528
22,0.074348,0.307032
23,0.069282,0.326879
24,0.067655,0.293721
25,0.081150,0.474760
26,0.071160,0.392921
27,0.067508,0.342274
28,0.070406,0.282701
29,0.082659,0.347368
30,0.068099,0.310521
31,0.058520,0.336574
32,0.064395,0.409243
33,0.082383,0.377924
34,0.075604,0.385431
35,0.073605,0.351273
36,0.070197,0.321152
37,0.061530,0.303936
38,0.067167,0.401291
39,0.065091,0.305606
40,0.063986,0.352156
41,0.070496,0.311876
42,0.062139,0.349879
43,0.056982,0.315915
44,0.068968,0.335391
45,0.069152,0.305021
46,0.062068,0.323256
47,0.057935,0.338730
48,0.059342,0.385324
49,0.068340,0.310703
50,0.054773,0.332474
51,0.060377,0.359119
52,0.051423,0.573956
53,0.107980,0.313250
54,0.057120,0.360138
55,0.065799,0.302275
56,0.068361,0.368033
57,0.073342,0.301803
58,0.061407,0.421545
59,0.053191,0.336790
60,0.057609,0.394577
61,0.064323,0.415458
62,0.068930,0.334911
63,0.061824,0.375804
64,0.050205,0.355129
65,0.052803,0.331383
66,0.053234,0.449799
67,0.059840,0.443299
68,0.055639,0.416666
69,0.076490,0.375673
70,0.241856,0.277658
71,0.088590,0.350735
72,0.062831,0.465077
73,0.058630,0.339572
74,0.052784,0.423585
75,0.055544,0.380574
76,0.059347,0.399549
77,0.051188,0.444947
78,0.061788,0.314012
79,0.070441,0.380282
80,0.048803,0.438686
81,0.057737,0.324147
82,0.069592,0.298426
83,0.053372,0.314523
84,0.049809,0.316897
85,0.058732,0.377919
86,0.058301,0.420336
87,0.049940,0.429956
88,0.050878,0.434275
89,0.063216,0.469101
90,0.052953,0.382674
91,0.057101,0.470844
92,0.073033,0.362432
93,0.049535,0.495672
94,0.057047,0.401380
95,0.062453,0.452314
96,0.055485,0.407795
97,0.058893,0.315927
98,0.050061,0.438006
99,0.046917,0.364946
100,0.052008,0.391471
101,0.056112,0.492661
102,0.060117,0.454102
103,0.053151,0.460291
104,0.295769,0.279132
105,0.375083,0.288111
106,0.249464,0.347576
107,0.209558,0.323110
108,0.251509,0.307252
109,0.278725,0.316170
110,0.205031,0.365635
111,0.216175,0.297180
112,0.158184,0.270195
113,0.124647,0.266288
114,0.116815,0.330669
115,0.096268,0.343792
116,0.096325,0.319686
117,0.090347,0.288502
118,0.085576,0.310320
119,0.090520,0.305468
120,0.087409,0.368301
121,0.105249,0.304128
122,0.080945,0.312031
123,0.086923,0.319062
124,0.086389,0.371406
125,0.079447,0.306385
126,0.081210,0.309123
127,0.078605,0.343927
128,0.089303,0.378208
129,0.084310,0.384439
130,0.082366,0.340250
131,0.078440,0.328133
132,0.079464,0.350676
133,0.073876,0.335998
134,0.082484,0.348107
135,0.078789,0.330869
136,0.075816,0.377952
137,0.074290,0.323815
138,0.074079,0.434443
139,0.077879,0.341419
140,0.070765,0.325255
141,0.075209,0.390440
142,0.088508,0.355478
143,0.072345,0.335768
144,0.075626,0.409227
145,0.070618,0.342005
146,0.078173,0.376342
147,0.073207,0.369576
148,0.063319,0.392446
149,0.067394,0.420944
150,0.088265,0.328728
151,0.091704,0.309623
152,0.072844,0.356771
153,0.065082,0.386020
154,0.067325,0.323948
155,0.069893,0.331747
156,0.078737,0.369365
157,0.065500,0.320617
158,0.077881,0.311207
159,0.082378,0.354649
160,0.065745,0.391777
161,0.061418,0.319876
162,0.072619,0.311667
163,0.064622,0.349114
