epoch,train_loss,val_loss
1,0.309443,0.323208
2,0.120560,0.308321
3,0.131892,0.303917
4,0.091166,0.323066
5,0.515016,0.388506
6,0.972292,0.317736
7,0.958082,0.325717
8,0.966561,0.313152
9,0.960871,0.332143
10,0.968549,0.337969
11,0.963206,0.294018
12,0.941467,0.345689
13,0.943940,0.330254
14,0.446843,0.291763
15,0.173863,0.291707
16,0.128104,0.292917
17,0.138631,0.297183
18,0.114551,0.295913
19,0.117578,0.294516
20,0.112737,0.280446
21,0.106501,0.282772
22,0.107431,0.284685
23,0.104767,0.291536
24,0.100930,0.261947
25,0.107312,0.298481
26,0.095638,0.293360
27,0.099606,0.284379
28,0.091262,0.280422
29,0.097641,0.297615
30,0.092439,0.342424
31,0.090717,0.320906
32,0.095369,0.310208
33,0.088491,0.311473
34,0.086393,0.277837
35,0.089183,0.277960
36,0.090331,0.411379
37,0.090966,0.278195
38,0.087939,0.279855
39,0.089887,0.281817
40,0.087991,0.311630
41,0.084897,0.310461
42,0.084292,0.311852
43,0.081250,0.276570
44,0.085895,0.268755
45,0.092211,0.270374
46,0.085039,0.278512
47,0.085101,0.286461
48,0.080890,0.334204
49,0.085438,0.271120
50,0.088374,0.296925
51,0.077355,0.307714
52,0.088573,0.307100
53,0.083390,0.277020
54,0.083189,0.312899
55,0.088856,0.275428
56,0.079920,0.267966
57,0.090136,0.265568
58,0.081832,0.292665
59,0.088953,0.385807
60,0.081630,0.272808
61,0.079226,0.297614
62,0.081837,0.265047
63,0.087101,0.261604
64,0.081959,0.263357
65,0.079357,0.296797
66,0.086615,0.299440
67,0.086988,0.267125
68,0.082216,0.269877
69,0.082668,0.285716
70,0.082812,0.267539
71,0.087000,0.277056
72,0.079728,0.265115
73,0.084228,0.267668
74,0.080639,0.269405
75,0.085261,0.318078
76,0.086586,0.268849
77,0.096712,0.269258
78,0.087993,0.261870
79,0.078689,0.283282
80,0.081979,0.291080
81,0.090458,0.266362
82,0.091484,0.280614
83,0.083263,0.307626
84,0.082502,0.373044
85,0.087239,0.274256
86,0.290074,0.443279
87,0.560149,0.842941
88,0.564632,0.873136
89,0.560503,0.891420
90,0.598853,0.295680
91,0.903149,0.308316
92,0.892007,0.310263
93,0.881280,0.286300
94,0.458944,0.490594
95,0.240462,0.297664
96,0.200515,0.286369
97,0.178732,0.295525
98,0.345486,0.317825
99,0.181596,0.281226
100,0.142228,0.285026
101,0.131862,0.300126
102,0.135558,0.302399
103,0.118206,0.328879
104,0.114129,0.297407
105,0.353788,0.469865
106,0.375916,0.331289
107,0.167663,0.301238
108,0.138114,0.285939
109,0.130843,0.343632
110,0.123487,0.283107
111,0.116925,0.335405
112,0.116006,0.281943
113,0.119238,0.291946
