epoch,train_loss,val_loss
1,0.242360,0.349730
2,0.112203,0.342316
3,0.078027,0.286223
4,0.058167,0.316677
5,0.055423,0.282606
6,0.049941,0.340732
7,0.050623,0.286442
8,0.052142,0.291150
9,0.044832,0.285918
10,0.045431,0.324767
11,0.041213,0.327842
12,0.041736,0.304925
13,0.040630,0.367139
14,0.045277,0.310772
15,0.041132,0.345737
16,0.041034,0.370856
17,0.042708,0.320943
18,0.039523,0.345629
19,0.040814,0.358029
20,0.042370,0.341843
21,0.041496,0.352881
22,0.040035,0.298665
23,0.041571,0.414656
24,0.039224,0.341162
25,0.039123,0.364274
26,0.039741,0.365153
27,0.039686,0.323783
28,0.043152,0.331965
29,0.036945,0.328586
30,0.039917,0.394141
31,0.038456,0.367574
32,0.036190,0.364335
33,0.038226,0.340576
34,0.037195,0.330142
35,0.038664,0.335268
36,0.039720,0.359405
37,0.038957,0.322876
38,0.037853,0.349550
39,0.036951,0.344887
40,0.036340,0.354770
41,0.037812,0.365808
42,0.036688,0.354876
43,0.034957,0.371261
44,0.034842,0.354989
45,0.041548,0.348971
46,0.037137,0.342769
47,0.035894,0.364565
48,0.035905,0.370983
49,0.035562,0.396717
50,0.034912,0.346406
51,0.038874,0.356080
52,0.037236,0.322127
53,0.039448,0.403310
54,0.037926,0.357585
55,0.034605,0.405520
56,0.036088,0.372478
57,0.035615,0.342582
58,0.037880,0.359665
59,0.036080,0.339744
60,0.036791,0.360078
61,0.034782,0.407734
62,0.036298,0.390343
63,0.034817,0.380206
64,0.037503,0.336485
65,0.035391,0.349226
66,0.035479,0.362419
67,0.037856,0.376175
68,0.034910,0.356222
69,0.037742,0.380572
70,0.032645,0.373970
71,0.036750,0.377291
72,0.034085,0.358201
73,0.038336,0.398397
74,0.032347,0.348339
75,0.034948,0.376185
76,0.037474,0.356782
77,0.033637,0.366666
78,0.033467,0.362913
79,0.036689,0.390550
80,0.033530,0.362266
