epoch,train_loss,val_loss
1,0.302098,0.607953
2,0.140043,0.363944
3,0.084026,0.307122
4,0.058575,0.318551
5,0.059716,0.337639
6,0.055994,0.322513
7,0.050734,0.345975
8,0.046775,0.517504
9,0.054251,0.388041
10,0.099681,0.371918
11,0.108741,0.288002
12,0.057315,0.312188
13,0.042982,0.328454
14,0.039794,0.342638
15,0.039627,0.353181
16,0.038879,0.365729
17,0.038382,0.391717
18,0.037200,0.356271
19,0.051763,0.363579
20,0.039195,0.379624
21,0.040171,0.384183
22,0.040592,0.375078
23,0.041587,0.376852
24,0.038032,0.419182
25,0.040396,0.389258
26,0.040796,0.378701
27,0.039479,0.367239
28,0.035830,0.354103
29,0.419908,0.682006
30,0.264785,0.307448
31,0.113103,0.308970
32,0.080345,0.305120
33,0.074210,0.296620
34,0.071780,0.305451
35,0.063004,0.296277
36,0.062461,0.306709
37,0.064364,0.290347
38,0.060787,0.298121
39,0.061903,0.295998
40,0.060985,0.299687
41,0.051720,0.296950
42,0.052605,0.298658
43,0.055172,0.293036
44,0.051176,0.287294
45,0.050009,0.304195
46,0.048815,0.295217
47,0.049613,0.334699
48,0.053852,0.291078
49,0.043803,0.291622
50,0.045196,0.287860
51,0.045085,0.315280
52,0.048508,0.307273
53,0.045288,0.295044
54,0.044567,0.302914
55,0.043547,0.284650
56,0.044584,0.286878
57,0.040483,0.321142
58,0.042737,0.297592
59,0.042919,0.303477
60,0.043166,0.327570
61,0.040439,0.293880
62,0.041626,0.322510
63,0.041658,0.317012
64,0.040232,0.285669
65,0.041701,0.313324
66,0.046178,0.300059
67,0.042492,0.287992
68,0.043624,0.299952
69,0.039823,0.315357
70,0.040288,0.288443
71,0.041702,0.293057
72,0.041812,0.313175
73,0.041995,0.305159
74,0.042053,0.330047
75,0.040286,0.319199
76,0.039334,0.323095
77,0.037903,0.316802
78,0.040016,0.309652
79,0.041551,0.379340
80,0.050146,0.318561
81,0.037587,0.319992
82,0.047253,0.305147
83,0.037247,0.349190
84,0.036219,0.314024
85,0.044600,0.332459
86,0.043612,0.292507
87,0.041499,0.336045
88,0.036973,0.318402
89,0.039403,0.355055
90,0.042118,0.309390
91,0.045832,0.286502
92,0.048350,0.360494
93,0.038955,0.334402
94,0.040633,0.332711
95,0.039985,0.320689
96,0.035820,0.312517
97,0.038237,0.333261
98,0.042216,0.342540
99,0.042073,0.294069
100,0.039463,0.313815
101,0.038310,0.352049
102,0.039083,0.342164
103,0.045327,0.334456
104,0.042193,0.329774
105,0.035275,0.352119
