epoch,train_loss,val_loss
1,0.499391,0.533030
2,0.180595,0.497999
3,0.125088,0.371574
4,0.103217,0.322443
5,0.085598,0.324194
6,0.069434,0.324023
7,0.060899,0.326318
8,0.057290,0.319232
9,0.052130,0.309158
10,0.050224,0.304721
11,0.048736,0.327135
12,0.045496,0.314735
13,0.043250,0.309721
14,0.044844,0.315653
15,0.039325,0.325927
16,0.035298,0.332987
17,0.034022,0.337460
18,0.033961,0.324675
19,0.035557,0.322597
20,0.032312,0.331649
21,0.030379,0.336058
22,0.030802,0.340911
23,0.028755,0.338388
24,0.029647,0.333616
25,0.028485,0.384309
26,0.030956,0.413169
27,0.028987,0.353071
28,0.028777,0.404569
29,0.028019,0.374382
30,0.028460,0.389079
31,0.029767,0.373665
32,0.026910,0.392107
33,0.027823,0.342634
34,0.025804,0.393675
35,0.024539,0.329889
36,0.028167,0.374305
37,0.026481,0.365244
38,0.027067,0.315174
39,0.024536,0.317347
40,0.024134,0.338423
41,0.024466,0.323757
42,0.023398,0.323183
43,0.025187,0.329521
44,0.024420,0.308526
45,0.023749,0.319127
46,0.023230,0.317013
47,0.023484,0.314880
48,0.023038,0.314632
49,0.023012,0.308243
50,0.024463,0.314940
51,0.024476,0.328700
52,0.022522,0.321596
53,0.022106,0.306691
54,0.022792,0.308530
55,0.024110,0.317149
56,0.023178,0.303729
57,0.022506,0.311414
58,0.022292,0.308813
59,0.022868,0.300325
60,0.022623,0.307205
61,0.021529,0.305298
62,0.024812,0.320329
63,0.023282,0.304884
64,0.022731,0.306638
65,0.022792,0.305708
66,0.021491,0.294547
67,0.022122,0.309253
68,0.022262,0.304076
69,0.020819,0.314752
70,0.026729,0.349903
71,0.025467,0.301482
72,0.021270,0.310579
73,0.020787,0.316709
74,0.020480,0.306717
75,0.022519,0.308487
76,0.022874,0.307663
77,0.021393,0.300463
78,0.020805,0.290811
79,0.020419,0.306844
80,0.021931,0.304433
81,0.022051,0.303376
82,0.021059,0.299564
83,0.022810,0.301011
84,0.022628,0.304051
85,0.020811,0.307812
86,0.020600,0.305465
87,0.022182,0.295687
88,0.021943,0.315165
89,0.020441,0.300520
90,0.020697,0.291338
91,0.021272,0.304580
92,0.020071,0.307036
93,0.020006,0.301945
94,0.019992,0.312445
95,0.020942,0.324457
96,0.021876,0.313792
97,0.022407,0.287935
98,0.022107,0.299931
99,0.021478,0.304676
100,0.020955,0.300905
101,0.022597,0.300382
102,0.021444,0.314059
103,0.019790,0.314067
104,0.020215,0.308022
105,0.025912,0.303250
106,0.020579,0.296782
107,0.020820,0.313554
108,0.021767,0.294089
109,0.020385,0.311372
110,0.019544,0.310323
111,0.021487,0.312767
112,0.020352,0.308727
113,0.021062,0.308521
114,0.019949,0.303895
115,0.020298,0.301936
116,0.019787,0.300221
117,0.020489,0.303821
118,0.019902,0.305205
119,0.019701,0.314045
120,0.019908,0.301067
121,0.019830,0.303913
122,0.019462,0.299597
123,0.020070,0.307210
124,0.019812,0.306199
125,0.019139,0.305270
126,0.019286,0.301284
127,0.019791,0.300316
128,0.019523,0.311188
129,0.019790,0.304681
130,0.020477,0.306581
131,0.020000,0.304376
132,0.019202,0.306045
133,0.020386,0.300548
134,0.019805,0.303818
135,0.019958,0.307755
136,0.018647,0.305757
137,0.018887,0.308534
138,0.019362,0.308434
139,0.021027,0.315361
140,0.018986,0.312639
141,0.020022,0.311310
142,0.019492,0.292697
143,0.020084,0.306719
144,0.018915,0.292828
145,0.018965,0.305680
146,0.018661,0.296187
147,0.020236,0.304391
