epoch,train_loss,val_loss
1,0.623925,0.649374
2,0.283021,0.474128
3,0.173208,0.463880
4,0.138241,0.358230
5,0.113676,0.327885
6,0.111383,0.318061
7,0.099070,0.321758
8,0.093728,0.355366
9,0.093655,0.363238
10,0.090641,0.384980
11,0.094422,0.316175
12,0.071830,0.309912
13,0.074014,0.303173
14,0.075715,0.305491
15,0.083452,0.315049
16,0.073358,0.306585
17,0.066698,0.294910
18,0.061485,0.306115
19,0.064738,0.307115
20,0.061159,0.304308
21,0.061492,0.323326
22,0.061714,0.296785
23,0.062202,0.304739
24,0.055452,0.321868
25,0.054556,0.313837
26,0.067102,0.310418
27,0.054840,0.309794
28,0.057143,0.308368
29,0.052950,0.301493
30,0.063703,0.364619
31,0.068166,0.318768
32,0.054321,0.303719
33,0.058198,0.326179
34,0.063521,0.320612
35,0.055562,0.310217
36,0.056956,0.300540
37,0.055095,0.294942
38,0.061225,0.288929
39,0.055203,0.297495
40,0.059910,0.343691
41,0.277896,0.437837
42,0.139871,0.269288
43,0.104709,0.307288
44,0.091832,0.309352
45,0.089260,0.309832
46,0.080050,0.314210
47,0.074004,0.368626
48,0.083474,0.311722
49,0.070435,0.317580
50,0.062693,0.315058
51,0.069381,0.324239
52,0.068404,0.313895
53,0.061554,0.313732
54,0.059724,0.314897
55,0.061283,0.304611
56,0.067861,0.322770
57,0.053981,0.329649
58,0.057950,0.341583
59,0.062175,0.368974
60,0.054392,0.309862
61,0.065075,0.301419
62,0.059302,0.294364
63,0.055074,0.310619
64,0.062495,0.360729
65,0.057121,0.354910
66,0.058834,0.325187
67,0.060852,0.304873
68,0.053813,0.300415
69,0.083723,0.316567
70,0.073650,0.315039
71,0.054108,0.305929
72,0.053553,0.314552
73,0.066501,0.315162
74,0.058128,0.300443
75,0.054772,0.319858
76,0.050402,0.372906
77,0.064234,0.336478
78,0.057286,0.325923
79,0.051265,0.344074
80,0.049270,0.319950
81,0.121800,0.277956
82,0.069255,0.308324
83,0.057772,0.310079
84,0.049881,0.317749
85,0.054994,0.316313
86,0.050830,0.325445
87,0.049863,0.311170
88,0.051219,0.338113
89,0.057578,0.299576
90,0.053130,0.351038
91,0.051339,0.330194
92,0.053926,0.332177
