epoch,train_loss,val_loss
1,0.709528,0.439509
2,0.217530,0.447378
3,0.112497,0.320297
4,0.117564,0.320649
5,0.097491,0.363143
6,0.102383,0.322237
7,0.221376,0.324266
8,0.141065,0.358852
9,0.092840,0.319718
10,0.095236,0.400059
11,0.102983,0.351304
12,0.097746,0.335255
13,0.065845,0.306226
14,0.071836,0.313906
15,0.099041,0.315852
16,0.076766,0.391567
17,0.077850,0.340754
18,0.073096,0.373089
19,0.064377,0.344280
20,0.068917,0.340466
21,0.081278,0.308713
22,0.069828,0.304362
23,0.057388,0.312489
24,0.079418,0.305287
25,0.062680,0.301096
26,0.092868,0.304469
27,0.059060,0.340966
28,0.068708,0.318795
29,0.078595,0.303799
30,0.074174,0.327103
31,0.057995,0.315858
32,0.064124,0.334652
33,0.063387,0.308628
34,0.084243,0.322015
35,0.055972,0.301337
36,0.076926,0.293796
37,0.072957,0.379676
38,0.063151,0.365071
39,0.056592,0.307815
40,0.059618,0.363717
41,0.061174,0.295716
42,0.073799,0.308285
43,0.111371,0.330262
44,0.073976,0.294719
45,0.059997,0.304165
46,0.052881,0.301583
47,0.063630,0.301723
48,0.052272,0.340832
49,0.052960,0.307461
50,0.073817,0.296800
51,0.066528,0.298943
52,0.060782,0.300987
53,0.054181,0.309688
54,0.055454,0.305521
55,0.053392,0.331572
56,0.090970,0.291849
57,0.083066,0.303871
58,0.066749,0.377780
59,0.051098,0.344975
60,0.052532,0.305592
61,0.054876,0.306285
62,0.056350,0.360657
63,0.058250,0.313267
64,0.051122,0.341874
65,0.051890,0.306839
66,0.061662,0.307733
67,0.050977,0.310565
68,0.054579,0.337602
69,0.059107,0.301122
70,0.063456,0.302493
71,0.057438,0.314760
72,0.053103,0.340999
73,0.060835,0.384752
74,0.057036,0.325549
75,0.049145,0.341089
76,0.055150,0.334456
77,0.051709,0.404562
78,0.058668,0.314664
79,0.064040,0.314981
80,0.052119,0.336817
81,0.067265,0.308521
82,0.051929,0.324872
83,0.061402,0.306487
84,0.049628,0.308762
85,0.045802,0.317993
86,0.132079,0.307442
87,0.059570,0.406156
88,0.051279,0.321729
89,0.052282,0.323265
90,0.049958,0.313446
91,0.046754,0.315798
92,0.052602,0.336418
93,0.046114,0.335787
94,0.047029,0.378220
95,0.056981,0.308215
96,0.049995,0.364882
97,0.065248,0.316229
98,0.051060,0.311812
99,0.049576,0.336246
100,0.051324,0.317360
101,0.059415,0.309834
102,0.046226,0.327147
103,0.049660,0.341466
104,0.064294,0.297254
105,0.071926,0.309068
106,0.061029,0.310827
