epoch,train_loss,val_loss
1,0.247825,0.332444
2,0.088993,0.290076
3,0.062286,0.290165
4,0.062033,0.293521
5,0.051472,0.335009
6,0.040172,0.304350
7,0.045779,0.304235
8,0.041499,0.294222
9,0.041729,0.291603
10,0.034389,0.302933
11,0.032484,0.297061
12,0.033806,0.291969
13,0.029488,0.286250
14,0.035493,0.282624
15,0.210385,0.442247
16,0.175692,0.339101
17,0.138560,0.329036
18,0.153772,0.304809
19,0.094877,0.294196
20,0.071615,0.311457
21,0.060756,0.295696
22,0.048672,0.280862
23,0.044550,0.284197
24,0.039574,0.294739
25,0.038881,0.248679
26,0.070172,0.322960
27,0.054364,0.303044
28,0.077964,0.302524
29,0.088332,0.349455
30,0.073641,0.274828
31,0.041625,0.285246
32,0.037280,0.264535
33,0.088661,0.315903
34,0.614681,1.041619
35,0.817991,0.897987
36,0.817764,0.882337
37,0.813605,0.687303
38,0.815073,0.816347
39,0.837100,0.835071
40,0.840251,0.878866
41,0.847252,0.879792
42,0.839070,0.990307
43,0.841574,0.822857
44,0.849296,1.095307
45,0.843108,0.911163
46,0.844539,0.695507
47,0.840323,1.011283
48,0.844125,0.876854
49,0.840639,0.991029
50,0.839159,1.069686
51,0.843707,0.881774
52,0.837518,0.769644
53,0.841916,0.855875
54,0.840571,0.852041
55,0.838999,0.909997
56,0.842142,0.955126
57,0.838857,1.026899
58,0.839030,0.792698
59,0.840101,0.837049
60,0.836806,0.824784
61,0.839129,0.999751
62,0.838310,0.849979
63,0.838365,0.740603
64,0.843525,0.778956
65,0.839678,0.850054
66,0.838964,0.912666
67,0.837829,0.861270
68,0.840004,1.174503
69,0.840738,0.947379
70,0.838963,0.952207
71,0.840464,1.025699
72,0.839471,0.873860
73,0.841982,0.767784
74,0.839274,0.821130
75,0.842158,0.762596
76,0.837029,0.690627
77,0.842940,0.824112
78,0.835940,0.932916
79,0.840600,0.796644
80,0.836625,0.931355
