epoch,train_loss,val_loss
1,0.683092,0.581139
2,0.611522,0.530718
3,0.595234,0.359339
4,0.595973,0.430661
5,0.597309,0.480996
6,0.597945,0.452861
7,0.598154,0.447453
8,0.603749,0.347913
9,0.607810,0.449602
10,0.605675,0.390777
11,0.606318,0.406279
12,0.608336,0.384521
13,0.704098,0.522490
14,0.780713,0.314305
15,0.808541,0.339979
16,0.824644,0.328595
17,0.823071,0.326208
18,0.826812,0.319603
19,0.835796,0.351436
20,0.879544,0.283372
21,0.965465,0.354809
22,0.964954,0.378983
23,0.964164,0.301898
24,0.958912,0.331334
25,0.957618,0.332727
26,0.949280,0.293017
27,0.926691,0.301504
28,0.901391,0.370127
29,0.852587,0.376819
30,0.884317,0.366641
31,0.895688,0.302911
32,0.832752,0.318620
33,0.805460,0.408861
34,0.911548,0.416087
35,0.867805,0.355703
36,1.000263,0.313476
37,1.004216,0.350287
38,0.999850,0.383148
39,0.999904,0.374235
40,1.014605,0.309136
41,1.009072,0.398068
42,1.011226,0.330130
43,1.010075,0.373935
44,1.008017,0.286784
45,1.022262,0.426548
46,1.010457,0.375977
47,1.014999,0.370579
48,1.007460,0.301481
49,1.012339,0.345353
50,1.008047,0.292087
51,1.020530,0.478570
52,1.003161,0.338824
53,1.008808,0.471552
54,1.015396,0.401633
55,1.007368,0.335825
56,1.008636,0.294667
57,1.011077,0.353519
58,1.014436,0.406099
59,1.004251,0.364571
60,1.004923,0.454045
61,1.006199,0.338401
62,1.004710,0.412120
63,1.004201,0.359010
64,1.004116,0.298919
65,1.006300,0.342614
66,1.007294,0.296327
67,1.007517,0.411975
68,1.008140,0.411428
69,1.007679,0.372561
70,1.004641,0.416031
71,1.011645,0.326037
72,1.004699,0.388515
73,1.009708,0.367214
74,1.006704,0.354655
75,1.006498,0.357702
76,1.007475,0.395334
77,1.008694,0.391606
78,1.019491,0.289949
79,1.011777,0.373796
80,1.011172,0.284708
81,1.016752,0.401382
82,1.027071,0.295306
83,1.009986,0.425007
84,1.005962,0.329028
85,1.015807,0.298030
86,1.014739,0.336663
87,1.003878,0.321742
88,1.008981,0.436594
89,1.008706,0.359963
90,1.008359,0.335846
91,1.003078,0.321760
92,1.006266,0.322411
93,1.008521,0.325282
94,1.005902,0.310991
95,1.019965,0.409260
96,1.016652,0.322177
97,1.022566,0.329727
98,1.007638,0.416488
99,1.009460,0.325432
100,1.007011,0.289590
