epoch,train_loss,val_loss
1,0.282107,0.381293
2,0.113132,0.330705
3,0.077071,0.300095
4,0.058338,0.320934
5,0.051037,0.319283
6,0.049490,0.564430
7,0.042121,0.341272
8,0.041412,0.322266
9,0.036617,0.322775
10,0.033601,0.289548
11,0.033205,0.425538
12,0.033285,0.293927
13,0.031464,0.279422
14,0.032566,0.281183
15,0.027805,0.281425
16,0.028193,0.271025
17,0.027318,0.276919
18,0.024873,0.272722
19,0.027344,0.269144
20,0.025637,0.264497
21,0.026418,0.268846
22,0.027276,0.262237
23,0.092507,0.283989
24,0.081157,0.312684
25,0.056233,0.290193
26,0.040398,0.304407
27,0.035843,0.296314
28,0.031591,0.302513
29,0.029837,0.305159
30,0.027652,0.309795
31,0.026028,0.306901
32,0.026271,0.301020
33,0.029202,0.318837
34,0.029290,0.315247
35,0.025709,0.322087
36,0.025640,0.314628
37,0.029998,0.318685
38,0.025584,0.312105
39,0.023838,0.311271
40,0.023530,0.320041
41,0.024635,0.311023
42,0.023682,0.305861
43,0.023582,0.300262
44,0.024453,0.316006
45,0.022969,0.313022
46,0.024811,0.307208
47,0.026964,0.296025
48,0.026369,0.301228
49,0.024225,0.327930
50,0.024161,0.305889
51,0.021916,0.362354
52,0.023531,0.298440
53,0.025347,0.436633
54,0.023046,0.504871
55,0.022860,0.357693
56,0.021149,0.689571
57,0.021294,0.445309
58,0.021014,0.435514
59,0.021183,0.390968
60,0.362838,0.467040
61,0.518128,0.331993
62,0.190361,0.299876
63,0.135691,0.299065
64,0.102719,0.303199
65,0.126021,0.306767
66,0.099133,0.311324
67,0.082821,0.300945
68,0.086170,0.313443
69,0.076147,0.308023
70,0.069000,0.306717
71,0.062382,0.296193
72,0.057703,0.300199
73,0.062079,0.293395
74,0.059219,0.305528
75,0.057275,0.300735
76,0.055439,0.316006
77,0.055549,0.297913
78,0.054554,0.303216
79,0.057309,0.305730
80,0.055257,0.297785
