epoch,train_loss,val_loss
1,0.265982,0.363699
2,0.099313,0.269454
3,0.063001,0.283731
4,0.047013,0.298687
5,0.044306,0.292627
6,0.043864,0.320894
7,0.034779,0.305280
8,0.035277,0.304823
9,0.029334,0.305176
10,0.029970,0.312353
11,0.030146,0.309233
12,0.028973,0.294226
13,0.025893,0.301634
14,0.025106,0.306546
15,0.025826,0.307055
16,0.025287,0.308950
17,0.025107,0.288882
18,0.026430,0.286875
19,0.021774,0.288271
20,0.026724,0.303479
21,0.041087,0.348553
22,0.031903,0.300036
23,0.026214,0.283430
24,0.022395,0.289750
25,0.022299,0.284281
26,0.022125,0.287218
27,0.021978,0.289323
28,0.022290,0.293652
29,0.021034,0.290425
30,0.022263,0.287286
31,0.021081,0.284190
32,0.021526,0.288033
33,0.019754,0.273124
34,0.019182,0.283896
35,0.019575,0.286621
36,0.019858,0.276829
37,0.021233,0.288331
38,0.019389,0.284504
39,0.022173,0.282232
40,0.025851,0.348711
41,0.023825,0.297633
42,0.019916,0.300715
43,0.019716,0.298638
44,0.023576,0.310599
45,0.811370,0.335446
46,0.826923,0.342610
47,0.826912,0.358299
48,0.828388,0.443310
49,0.822651,0.434389
50,0.825060,0.390583
51,0.822510,0.376140
52,0.825566,0.408931
53,0.755433,0.449027
54,0.624346,0.420269
55,0.787109,0.518271
56,0.507540,0.428260
57,0.727430,0.439800
58,0.868260,0.287199
59,0.890475,0.289305
60,0.887281,0.286127
61,0.892773,0.292026
62,0.872259,0.308115
63,0.835058,0.337206
64,0.689809,0.204538
65,0.384581,0.404378
66,0.309646,0.291988
67,0.263650,0.298812
68,0.233955,0.308135
69,0.649639,0.380623
70,0.518759,0.426146
71,0.867684,0.784595
72,0.762597,0.328942
73,0.673783,0.488763
74,0.607046,0.587426
75,0.521519,0.835200
76,0.470825,1.002665
77,0.424393,1.030168
78,0.415270,0.961537
79,0.415653,1.016151
80,0.418772,1.038078
81,0.424983,1.032964
82,0.414194,1.055674
83,0.423525,1.029873
84,0.414385,1.014690
85,0.410423,1.064321
86,0.411873,0.985244
87,0.411116,1.039244
88,0.411681,1.037649
89,0.414359,0.987031
90,0.413943,0.970272
91,0.409696,0.907848
92,0.415123,0.980727
93,0.411404,0.958885
94,0.412485,0.939522
95,0.415178,1.048423
96,0.410843,1.097500
97,0.412810,1.023925
98,0.419920,0.993453
99,0.418300,1.018554
100,0.414352,0.970937
101,0.490442,3.415031
102,0.464321,3.247658
103,0.459515,3.226017
104,0.462537,3.222744
105,0.458300,3.315216
106,0.461856,3.370067
107,0.464488,3.119649
108,0.453865,3.165050
109,0.461133,3.396725
110,0.461935,3.144805
111,0.452881,3.312134
112,0.453972,3.455677
113,0.455398,3.410351
114,0.455165,3.472806
