epoch,train_loss,val_loss
1,0.379464,0.268509
2,0.157354,0.313545
3,0.088718,0.318879
4,0.068465,0.685133
5,0.053052,0.401071
6,0.049174,0.468555
7,0.041259,0.461439
8,0.039299,0.463789
9,0.036175,0.511887
10,0.033123,0.376595
11,0.028388,0.400169
12,0.032651,0.548183
13,0.764650,0.318659
14,0.841793,0.354754
15,0.703586,0.397961
16,0.548881,0.389656
17,0.535299,0.395445
18,0.527308,0.547984
19,0.484862,0.410259
20,0.414462,0.501844
21,0.564058,0.717460
22,0.546946,0.312181
23,0.688623,0.299751
24,0.679363,0.303922
25,0.678539,0.290716
26,0.622981,0.287337
27,0.629880,0.359780
28,0.639981,0.327434
29,0.613969,0.302768
30,0.583378,0.291544
31,0.632581,0.322772
32,0.553626,0.340950
33,0.541230,0.351953
34,0.534145,0.310349
35,0.536776,0.315619
36,0.519037,0.340581
37,0.513054,0.323086
38,0.505557,0.318149
39,0.505309,0.341436
40,0.506557,0.328629
41,0.499397,0.300901
42,0.499048,0.307928
43,0.504761,0.303308
44,0.499297,0.296110
45,0.509459,0.296703
46,0.502950,0.301051
47,0.511241,0.305765
48,0.509085,0.320120
49,0.511236,0.300767
50,0.507765,0.356308
51,0.629555,0.287822
52,0.532451,0.330714
53,0.507382,0.241340
54,0.771351,0.851539
55,0.722179,1.115837
56,0.863532,0.345049
57,0.720851,0.493707
58,0.921493,0.298044
59,0.972366,0.366036
60,0.942170,0.474794
61,0.938557,0.322131
62,0.928658,0.538528
63,0.929238,0.456159
64,0.944003,0.410303
65,0.930943,0.383512
66,0.926488,0.435593
67,0.923478,0.423302
68,0.866846,0.643203
69,0.891608,0.634058
70,0.863110,0.375235
71,0.852016,0.367392
72,0.840880,0.416211
73,0.830310,0.398059
74,0.820485,0.395886
75,0.813077,0.497691
76,0.803070,0.407409
77,0.790921,0.459474
78,0.779453,0.393320
79,0.784007,0.384719
80,0.785992,0.466818
81,0.782230,0.410108
82,0.784640,0.350534
83,0.779948,0.471308
84,0.776972,0.384377
85,0.776585,0.381678
86,0.777042,0.408185
87,0.777524,0.420392
88,0.773326,0.347040
89,0.773727,0.411015
90,0.778830,0.442734
91,0.773569,0.405245
92,0.776109,0.431848
93,0.772599,0.414950
94,0.778455,0.330079
95,0.772205,0.336640
96,0.772735,0.362712
97,0.784486,0.364185
98,0.771886,0.367803
99,0.770736,0.364899
100,0.763538,0.415452
101,0.768889,0.444187
102,0.764443,0.449595
103,0.766153,0.346095
