epoch,train_loss,val_loss
1,0.233996,0.303301
2,0.071237,0.297213
3,0.050379,0.298582
4,0.044920,0.334413
5,0.037887,0.353043
6,0.038764,0.295259
7,0.051041,0.283789
8,0.031981,0.295785
9,0.038152,0.321581
10,0.030070,0.303129
11,0.027935,0.286709
12,0.029548,0.294270
13,0.030845,0.307042
14,0.026013,0.277121
15,0.025453,0.297932
16,0.036982,0.289371
17,0.025217,0.296031
18,0.024200,0.305919
19,0.095135,1.443659
20,0.808051,0.780530
21,0.783457,1.127034
22,0.772827,1.507287
23,0.780767,1.239688
24,0.781460,1.131070
25,0.783848,1.029376
26,0.774914,1.632627
27,0.779137,1.205201
28,0.774465,1.258109
29,0.772895,1.323736
30,0.769862,1.501488
31,0.765189,1.514020
32,0.777850,0.295527
33,0.823535,0.303227
34,0.814427,0.311552
35,0.805887,0.307256
36,0.811434,0.327973
37,0.811263,0.364626
38,0.806661,0.821752
39,0.824083,0.837418
40,0.823271,0.962644
41,0.821269,0.813199
42,0.606926,0.327505
43,0.421844,0.371866
44,0.229281,0.301203
45,0.201121,0.327318
46,0.166401,0.317478
47,0.144598,0.308537
48,0.137115,0.316719
49,0.314174,0.374707
50,0.210555,0.314848
51,0.158545,0.304967
52,0.150967,0.320467
53,0.198919,0.304905
54,0.143660,0.319712
55,0.141493,0.313684
56,0.331615,0.388719
57,0.271678,0.346251
58,0.175823,0.319230
59,0.176088,0.314742
60,0.163772,0.315938
61,0.167990,0.310432
62,0.185746,0.307894
63,0.157334,0.321488
64,0.155715,0.331600
65,0.158057,0.321474
66,0.136129,0.315989
67,0.142337,0.317834
68,0.144382,0.686664
69,0.898517,0.358263
70,0.862909,0.295541
71,0.845341,0.328097
72,0.849796,0.330056
73,0.849406,0.304437
74,0.844750,0.333029
75,0.845031,0.284421
76,0.860319,0.350906
77,0.615388,0.451041
78,0.580251,0.369279
79,0.559894,0.385751
80,0.556560,0.398359
