epoch,train_loss,val_loss
1,0.322430,0.361372
2,0.143527,0.308764
3,0.091998,0.264431
4,0.079142,0.332669
5,0.062190,0.296800
6,0.055114,0.295447
7,0.052219,0.299544
8,0.045780,0.298949
9,0.042728,0.294810
10,0.043262,0.300346
11,0.040751,0.301238
12,0.034477,0.311083
13,0.034028,0.297873
14,0.032451,0.299488
15,0.033065,0.311952
16,0.030511,0.320554
17,0.033078,0.308451
18,0.033948,0.317171
19,0.027932,0.310309
20,0.026043,0.363991
21,0.027659,0.330841
22,0.027274,0.371208
23,0.026966,0.304806
24,0.187003,0.383111
25,0.683640,0.366695
26,0.675044,0.336719
27,0.670335,0.409847
28,0.667242,0.388119
29,0.669758,0.454241
30,0.667805,0.450400
31,0.668675,0.528079
32,0.666420,0.429878
33,0.663975,0.538814
34,0.664997,0.402842
35,0.665771,0.390694
36,0.668551,0.413320
37,0.664051,0.603641
38,0.666983,0.498507
39,0.662548,0.351824
40,0.666245,0.443544
41,0.664032,0.412451
42,0.663586,0.485418
43,0.663690,0.463233
44,0.663238,0.457281
45,0.708424,0.783485
46,0.737787,0.613076
47,0.739752,0.670319
48,0.741757,0.625679
49,0.734834,0.663777
50,0.735293,0.688033
51,0.735301,0.636799
52,0.736390,0.642844
53,0.733660,0.653640
54,0.736710,0.659620
55,0.733060,0.728005
56,0.732518,0.700040
57,0.732545,0.689970
58,0.732487,0.679208
59,0.734234,0.668273
60,0.730867,0.728014
61,0.729921,0.670429
62,0.733808,0.548226
63,0.729074,0.567404
64,0.732687,0.614738
65,0.731863,0.592542
66,0.733906,0.835008
67,0.733471,0.684041
68,0.728081,0.590876
69,0.727693,0.792680
70,0.729997,0.698883
71,0.728446,0.627345
72,0.727634,0.728199
73,0.727358,0.653318
74,0.728070,0.618447
75,0.725830,0.743528
76,0.727381,0.689453
77,0.727393,0.586465
78,0.727203,0.709744
79,0.726053,0.685557
80,0.728041,0.616924
