epoch,train_loss,val_loss
1,0.344799,0.338271
2,0.139031,0.277958
3,0.086059,0.291038
4,0.064107,0.295350
5,0.051718,0.295948
6,0.047637,0.327170
7,0.037151,0.362197
8,0.036521,0.331138
9,0.034339,0.338110
10,0.035044,0.316901
11,0.030933,0.319141
12,0.035107,0.324011
13,0.035942,0.323784
14,0.030958,0.327628
15,0.033310,0.351874
16,0.032802,0.286251
17,0.032165,0.360522
18,0.034043,0.304931
19,0.027064,0.304840
20,0.030661,0.302284
21,0.031098,0.304541
22,0.032637,0.318772
23,0.353475,1.094018
24,1.051073,0.455850
25,1.009325,0.327381
26,0.842213,0.937256
27,0.687545,0.783166
28,0.683919,0.744674
29,0.592768,2.519050
30,0.323579,3.125296
31,0.196442,3.398058
32,0.177871,2.640696
33,0.202541,2.477659
34,0.176091,2.893321
35,0.161232,2.886868
36,0.123870,2.524535
37,0.129714,1.930578
38,0.165650,2.506046
39,0.114546,2.659485
40,0.104489,2.900787
41,0.112527,2.985775
42,0.107913,2.513012
43,0.090256,2.374650
44,0.096314,2.268671
45,0.092800,2.444041
46,0.084842,2.658564
47,0.117111,2.026375
48,0.092014,2.325367
49,0.087306,2.310924
50,0.083836,2.300739
51,0.085129,2.256649
52,0.088478,2.253270
53,0.116261,2.002767
54,0.100120,2.387449
55,0.092025,2.155829
56,0.096240,2.248055
57,0.078692,2.298733
58,0.235086,0.433629
59,0.197642,0.464007
60,0.370620,1.721764
61,0.409669,1.670994
62,0.321628,2.426569
63,1.050369,1.319291
64,0.629544,0.565520
65,0.604612,0.641825
66,0.617000,0.688448
67,0.614331,0.704912
68,0.617731,1.098483
69,0.619220,0.952637
70,0.616470,0.907823
71,0.619930,0.845236
72,0.622217,0.673968
73,0.621528,0.755968
74,0.623038,1.069392
75,0.622042,0.812481
76,0.618646,0.948979
77,0.618795,1.228664
78,0.619526,0.938529
79,0.620390,1.126076
80,0.619655,0.944791
