epoch,train_loss,val_loss
1,0.298651,0.501241
2,0.153704,0.411149
3,0.085715,0.373099
4,0.054088,0.369894
5,0.044385,0.381034
6,0.040320,0.396331
7,0.035334,0.409705
8,0.036376,0.421656
9,0.033901,0.400617
10,0.029892,0.389918
11,0.033389,0.363868
12,0.030977,0.364533
13,0.035252,0.384113
14,0.027844,0.374770
15,0.028080,0.376654
16,0.025019,0.402765
17,0.023692,0.376049
18,0.022607,0.361594
19,0.023987,0.382763
20,0.023130,0.399984
21,0.025452,0.390869
22,0.023138,0.374421
23,0.021685,0.374940
24,0.023195,0.382649
25,0.021642,0.359858
26,0.023146,0.372141
27,0.026411,0.348302
28,0.023967,0.389050
29,0.021617,0.384102
30,0.023163,0.374684
31,0.024933,0.368281
32,0.022315,0.354522
33,0.021077,0.391352
34,0.021873,0.400775
35,0.020335,0.395660
36,0.030879,0.330698
37,0.026562,0.354476
38,0.024097,0.375148
39,0.020461,0.366193
40,0.019962,0.375230
41,0.023475,0.386401
42,0.022518,0.384434
43,0.020896,0.389084
44,0.021533,0.393893
45,0.023493,0.375127
46,0.025324,0.389703
47,0.019214,0.411912
48,0.020344,0.395747
49,0.022135,0.362129
50,0.022358,0.377506
51,0.020667,0.354645
52,0.020934,0.406452
53,0.021646,0.363446
54,0.019777,0.386490
55,0.019881,0.408416
56,0.019481,0.417109
57,0.020329,0.417138
58,0.022988,0.410214
59,0.023073,0.424087
60,0.020219,0.417958
61,0.021369,0.406378
62,0.019490,0.409637
63,0.018757,0.402861
64,0.025412,0.441937
65,0.035944,0.446387
66,0.025757,0.457046
67,0.020162,0.417309
68,0.042424,0.311714
69,0.111906,0.354435
70,0.063630,0.353161
71,0.040542,0.341607
72,0.032609,0.320031
73,0.032048,0.324833
74,0.028581,0.324237
75,0.025590,0.313503
76,0.027739,0.345512
77,0.024085,0.342978
78,0.023704,0.341218
79,0.021617,0.363136
80,0.022221,0.350093
81,0.020999,0.350541
82,0.020855,0.361745
83,0.020675,0.361747
84,0.024495,0.359375
85,0.034711,0.346589
86,0.104923,0.362541
87,0.214114,0.413634
88,0.135115,0.320369
89,0.071492,0.292856
90,0.062972,0.379839
91,0.050744,0.447335
92,0.047389,0.331318
93,0.041227,0.293109
94,0.043166,0.259990
95,0.037330,0.268116
96,0.034272,0.327959
97,0.033535,0.328093
98,0.102763,0.416940
99,0.100559,0.290099
100,0.059291,0.340653
101,0.041996,0.323340
102,0.037571,0.324854
103,0.034025,0.363952
104,0.043651,0.356823
105,0.037408,0.361116
106,0.031634,0.426345
107,0.031045,0.382079
108,0.047515,0.354826
109,0.040927,0.429813
110,0.032787,0.391261
111,0.030229,0.419459
112,0.029520,0.413631
113,0.027417,0.444020
114,0.025229,0.436915
115,0.025566,0.453582
116,0.028167,0.374457
117,0.030356,0.331986
118,0.024825,0.433500
119,0.024941,0.407965
120,0.024956,0.372165
121,0.024580,0.422389
122,0.022751,0.448681
123,0.023307,0.477512
124,0.022771,0.431682
125,0.024495,0.460948
126,0.023297,0.443950
127,0.022646,0.439441
128,0.022929,0.472275
129,0.023086,0.480485
130,0.097067,0.320761
131,0.041510,0.346778
132,0.032593,0.412084
133,0.028641,0.434423
134,0.027993,0.453031
135,0.024149,0.454271
136,0.023885,0.449319
137,0.023003,0.461511
138,0.022844,0.442424
139,0.023738,0.442098
140,0.030318,0.436185
141,0.023226,0.463189
142,0.022569,0.464314
143,0.021781,0.448018
144,0.021985,0.437933
