epoch,train_loss,val_loss
1,0.344417,0.447014
2,0.122157,0.327732
3,0.084639,0.300330
4,0.072052,0.301280
5,0.066135,0.273252
6,0.051928,0.280075
7,0.047147,0.308277
8,0.044561,0.291609
9,0.042464,0.303604
10,0.039060,0.291999
11,0.035960,0.320178
12,0.037291,0.328152
13,0.032641,0.348359
14,0.033122,0.336537
15,0.030277,0.346550
16,0.030240,0.335659
17,0.029904,0.325588
18,0.031404,0.317974
19,0.028356,0.293076
20,0.027472,0.306540
21,0.026316,0.312709
22,0.025839,0.297393
23,0.025803,0.306994
24,0.026814,0.321013
25,0.025278,0.297312
26,0.026978,0.285245
27,0.023728,0.303864
28,0.023764,0.301253
29,0.025591,0.313422
30,0.026113,0.299665
31,0.028351,0.334649
32,0.024414,0.336803
33,0.023739,0.288172
34,0.022244,0.324682
35,0.023035,0.274482
36,0.023097,0.319949
37,0.023066,0.306828
38,0.022503,0.320466
39,0.021753,0.304583
40,0.022523,0.314433
41,0.027744,0.329674
42,0.023163,0.394434
43,0.023072,0.288919
44,0.024113,0.281267
45,0.021724,0.322185
46,0.021051,0.293894
47,0.022252,0.295688
48,0.021212,0.287110
49,0.020947,0.278316
50,0.021889,0.288679
51,0.021272,0.276346
52,0.021061,0.267209
53,0.022683,0.268650
54,0.021268,0.285356
55,0.022185,0.273015
56,0.022057,0.274643
57,0.020905,0.282676
58,0.019773,0.301158
59,0.020603,0.282699
60,0.021158,0.287678
61,0.020705,0.271495
62,0.020135,0.280571
63,0.019799,0.272305
64,0.019088,0.272427
65,0.019585,0.268285
66,0.020693,0.274608
67,0.019630,0.275309
68,0.020153,0.269348
69,0.019747,0.273081
70,0.019054,0.280730
71,0.019432,0.271055
72,0.019403,0.285172
73,0.020717,0.274245
74,0.019975,0.266611
75,0.019586,0.271926
76,0.019156,0.268797
77,0.019388,0.263240
78,0.018476,0.262271
79,0.017943,0.262298
80,0.019857,0.261664
81,0.018390,0.263679
82,0.018699,0.269060
83,0.019509,0.277867
84,0.018378,0.264976
85,0.019121,0.262839
86,0.019143,0.260336
87,0.020361,0.263200
88,0.018353,0.261997
89,0.018768,0.268783
90,0.018360,0.267287
91,0.021556,0.263287
92,0.019516,0.469494
93,0.019349,0.268729
94,0.018719,0.352343
95,0.018134,0.271998
96,0.017764,0.260257
97,0.017589,0.255582
98,0.017573,0.272908
99,0.017540,0.262430
100,0.018277,0.262266
101,0.019014,0.282416
102,0.017390,0.262847
103,0.420310,0.525933
104,0.232779,0.843186
105,0.145976,0.323447
106,0.076265,0.364502
107,0.099492,0.302548
108,0.051778,0.292886
109,0.045096,0.303598
110,0.041844,0.303742
111,0.039443,0.304453
112,0.037951,0.298364
113,0.036177,0.304829
114,0.033990,0.304187
115,0.031355,0.301865
116,0.031383,0.310769
117,0.031109,0.300118
118,0.030895,0.302069
119,0.028115,0.291886
120,0.027625,0.297028
121,0.027625,0.298909
122,0.025875,0.293072
123,0.027789,0.298966
124,0.025284,0.289517
125,0.025573,0.296973
126,0.024197,0.302494
127,0.024159,0.301300
128,0.024076,0.292303
129,0.023173,0.292312
130,0.023056,0.302249
131,0.022229,0.298391
132,0.023752,0.298972
133,0.022331,0.299073
134,0.022944,0.302688
135,0.021889,0.294882
136,0.022249,0.298837
137,0.021838,0.294780
138,0.022166,0.297576
139,0.023254,0.296199
140,0.025057,0.303049
141,0.021901,0.296420
142,0.021259,0.300808
143,0.021400,0.294569
144,0.021482,0.295604
145,0.020351,0.298008
146,0.020643,0.300464
147,0.021759,0.298785
