epoch,train_loss,val_loss
1,0.314445,0.532553
2,0.120487,0.308503
3,0.072533,0.297077
4,0.058255,0.302345
5,0.050226,0.278308
6,0.043960,0.292119
7,0.041628,0.394980
8,0.061763,0.313098
9,0.043362,0.299902
10,0.042158,0.320583
11,0.035879,0.335849
12,0.031621,0.308528
13,0.028739,0.322801
14,0.027616,0.311963
15,0.030322,0.320883
16,0.025890,0.296762
17,0.067026,0.354627
18,0.038845,0.317606
19,0.032060,0.288426
20,0.032420,0.329083
21,0.034583,0.294252
22,0.033226,0.286960
23,0.025485,0.291250
24,0.025242,0.291141
25,0.024943,0.278345
26,0.030652,0.292707
27,0.025257,0.285386
28,0.061446,0.303817
29,0.030185,0.310611
30,0.028113,0.298628
31,0.024112,0.313537
32,0.024389,0.272457
33,0.026677,0.304572
34,0.028091,0.318216
35,0.027064,0.307620
36,0.024239,0.292431
37,0.021790,0.299070
38,0.023841,0.285503
39,0.025068,0.288073
40,0.022677,0.304561
41,0.022144,0.298697
42,0.026964,0.291064
43,0.032999,0.308894
44,0.021893,0.294047
45,0.022406,0.295245
46,0.026056,0.296655
47,0.024513,0.297334
48,0.024675,0.302017
49,0.024753,0.296419
50,0.022518,0.298766
51,0.020035,0.300617
52,0.019784,0.297732
53,0.022388,0.297024
54,0.024132,0.293228
55,0.020503,0.291576
56,0.021489,0.311999
57,0.020222,0.292134
58,0.020159,0.292956
59,0.022275,0.298555
60,0.024020,0.307642
61,0.021118,0.304241
62,0.020926,0.299148
63,0.019487,0.294326
64,0.020206,0.305623
65,0.027988,0.279702
66,0.024348,0.304788
67,0.025408,0.296562
68,0.020929,0.309035
69,0.019697,0.297897
70,0.021909,0.301370
71,0.021616,0.289326
72,0.023161,0.310515
73,0.022015,0.310355
74,0.022638,0.303132
75,0.020288,0.303611
76,0.021337,0.300968
77,0.021016,0.305964
78,0.022191,0.280867
79,0.019320,0.295121
80,0.024387,0.268616
81,0.021812,0.296668
82,0.020004,0.309128
83,0.023861,0.305042
84,0.026819,0.292501
85,0.040662,0.295365
86,0.028996,0.276066
87,0.022334,0.278464
88,0.022339,0.290832
89,0.022576,0.285379
90,0.020315,0.249787
91,0.026250,0.290691
92,0.066798,0.277425
93,0.026423,0.265335
94,0.028360,0.285482
95,0.022305,0.293439
96,0.030376,0.271098
97,0.023858,0.280888
98,0.023402,0.282473
99,0.021446,0.294587
100,0.019653,0.282892
101,0.020235,0.271802
102,0.023006,0.289899
103,0.020849,0.274845
104,0.050761,0.302178
105,0.026127,0.261355
106,0.021267,0.277845
107,0.022157,0.285252
108,0.169573,1.683454
109,0.074638,0.652265
110,0.064789,0.318832
111,0.090389,0.312280
112,0.051869,0.310425
113,0.112958,1.312377
114,0.070765,0.323821
115,0.066150,0.304801
116,0.048582,0.305650
117,0.049273,0.296694
118,0.046684,0.298495
119,0.038798,0.290215
120,0.036989,0.287138
121,0.035414,0.282135
122,0.036086,0.287249
123,0.030475,0.283316
124,0.031337,0.278622
125,0.165413,0.333722
126,0.057551,0.294983
127,0.043325,0.296336
128,0.040188,0.298600
129,0.034662,0.298087
130,0.032202,0.301079
131,0.029946,0.305397
132,0.031667,0.302100
133,0.029296,0.309249
134,0.031279,0.296189
135,0.036260,0.295774
136,0.027211,0.303143
137,0.027140,0.303278
138,0.025493,0.292244
139,0.029807,0.301165
140,0.024241,0.301799
