epoch,train_loss,val_loss
1,0.326393,0.426778
2,0.099761,0.279658
3,0.065800,0.276238
4,0.059568,0.277870
5,0.048551,0.274898
6,0.042111,0.271831
7,0.036233,0.283551
8,0.035026,0.281168
9,0.039199,0.281530
10,0.032837,0.292910
11,0.031338,0.277726
12,0.031722,0.276771
13,0.030609,0.289287
14,0.028972,0.271746
15,0.026584,0.276656
16,0.028002,0.269878
17,0.026460,0.270750
18,0.026473,0.267152
19,0.024194,0.265816
20,0.024499,0.271994
21,0.028482,0.280031
22,0.025583,0.266848
23,0.025046,0.277007
24,0.029054,0.268336
25,0.026938,0.274947
26,0.023719,0.267762
27,0.023904,0.261290
28,0.021765,0.263304
29,0.020684,0.263848
30,0.020828,0.270093
31,0.022725,0.258977
32,0.021607,0.281703
33,0.021163,0.267530
34,0.020664,0.274906
35,0.020874,0.259425
36,0.022126,0.284840
37,0.020788,0.264865
38,0.020201,0.270484
39,0.022729,0.267660
40,0.021210,0.275128
41,0.022511,0.269044
42,0.022262,0.260117
43,0.021415,0.277341
44,0.022240,0.251158
45,0.022608,0.265835
46,0.020353,0.257853
47,0.020406,0.278400
48,0.031312,0.278836
49,0.037527,0.287627
50,0.023979,0.287715
51,0.022115,0.289576
52,0.019772,0.276303
53,0.019685,0.269745
54,0.021691,0.252985
55,0.020174,0.272695
56,0.020322,0.261759
57,0.019737,0.270948
58,0.018457,0.266799
59,0.018794,0.266787
60,0.019617,0.254546
61,0.019682,0.265881
62,0.020707,0.271724
63,0.018931,0.265884
64,0.017936,0.267024
65,0.018058,0.270455
66,0.019514,0.256102
67,0.020642,0.266889
68,0.019311,0.273439
69,0.018727,0.270227
70,0.019805,0.268419
71,0.020579,0.262683
72,0.019246,0.263041
73,0.020781,0.257526
74,0.022993,0.265059
75,0.019247,0.268023
76,0.018231,0.268582
77,0.019778,0.257290
78,0.020569,0.259691
79,0.039163,0.288770
80,0.041373,0.268674
81,0.022204,0.256339
82,0.020982,0.262792
83,0.019810,0.256716
84,0.019196,0.258930
85,0.019011,0.255737
86,0.019689,0.255887
87,0.018630,0.261690
88,0.018891,0.265849
89,0.020721,0.248906
90,0.018400,0.263479
91,0.018199,0.264219
92,0.022586,0.248640
93,0.020062,0.261497
94,0.018436,0.268112
95,0.024043,0.286112
96,0.081378,0.295657
97,0.045202,0.336447
98,0.029884,0.329050
99,0.025223,0.323592
100,0.022884,0.279628
101,0.021221,0.273856
102,0.019903,0.270253
103,0.020139,0.273898
104,0.019084,0.274837
105,0.019101,0.270598
106,0.019301,0.259146
107,0.019850,0.262856
108,0.018928,0.267691
109,0.019228,0.276174
110,0.019454,0.283177
111,0.018664,0.263684
112,0.019146,0.268301
113,0.022922,0.257763
114,0.031025,0.266110
115,0.020698,0.300841
116,0.020205,0.280285
117,0.019332,0.282609
118,0.019538,0.280606
119,0.019520,0.271574
120,0.020553,0.271386
121,0.019121,0.274223
122,0.019198,0.276166
123,0.018960,0.267976
124,0.018222,0.268699
125,0.018540,0.275421
126,0.018423,0.281075
127,0.018926,0.265267
128,0.018348,0.268465
129,0.018537,0.278193
130,0.018287,0.260299
131,0.018342,0.262983
132,0.017924,0.263136
133,0.019998,0.254145
134,0.025452,0.276653
135,0.020743,0.268643
136,0.018824,0.268866
137,0.017948,0.266420
138,0.017423,0.262186
139,0.018054,0.263794
140,0.019544,0.264064
141,0.080556,0.294580
142,0.042220,0.297907
