epoch,train_loss,val_loss
1,0.326606,0.402786
2,0.129735,0.299484
3,0.077175,0.290299
4,0.055157,0.282373
5,0.044316,0.293664
6,0.040915,0.317114
7,0.042359,0.340090
8,0.034730,0.346762
9,0.031580,0.363665
10,0.030326,0.368100
11,0.030864,0.344112
12,0.032775,0.353038
13,0.029236,0.343469
14,0.028753,0.349423
15,0.029841,0.358123
16,0.028634,0.351088
17,0.024997,0.335471
18,0.026123,0.327245
19,0.026450,0.338049
20,0.026873,0.325964
21,0.025429,0.326702
22,0.024919,0.321992
23,0.027649,0.330072
24,0.026008,0.344793
25,0.023951,0.335014
26,0.023263,0.357505
27,0.026136,0.315446
28,0.021904,0.319659
29,0.023375,0.328788
30,0.025076,0.294005
31,0.023900,0.321364
32,0.021503,0.345030
33,0.020799,0.344490
34,0.024820,0.305987
35,0.022280,0.350311
36,0.020658,0.328692
37,0.020149,0.315257
38,0.021304,0.320917
39,0.020099,0.320229
40,0.019572,0.314280
41,0.020602,0.310407
42,0.021175,0.356494
43,0.021234,0.326908
44,0.019865,0.321036
45,0.023395,0.320926
46,0.019475,0.306666
47,0.019752,0.326822
48,0.019422,0.319710
49,0.030165,0.302788
50,0.020507,0.307378
51,0.021067,0.342074
52,0.019037,0.350251
53,0.019254,0.334986
54,0.019396,0.300608
55,0.019937,0.316678
56,0.019154,0.299558
57,0.019944,0.329126
58,0.019408,0.326666
59,0.018597,0.310810
60,0.018962,0.343223
61,0.019769,0.308694
62,0.019633,0.306235
63,0.020851,0.288306
64,0.019439,0.299114
65,0.019214,0.298901
66,0.019537,0.332539
67,0.020240,0.382857
68,0.020554,0.293486
69,0.020113,0.287775
70,0.018508,0.316420
71,0.018539,0.307151
72,0.018080,0.300305
73,0.017814,0.332174
74,0.019163,0.279160
75,0.019340,0.294903
76,0.020594,0.319097
77,0.020991,0.313162
78,0.018706,0.328496
79,0.018098,0.316311
80,0.018517,0.306674
81,0.018642,0.335050
82,0.018557,0.311879
83,0.032838,0.266424
84,0.031616,0.315883
85,0.020909,0.333579
86,0.018891,0.321815
87,0.018460,0.322788
88,0.018138,0.347811
89,0.019559,0.325700
90,0.018055,0.304849
91,0.017930,0.367895
92,0.018396,0.335328
93,0.018351,0.347118
94,0.017870,0.346943
95,0.018027,0.323625
96,0.018477,0.324617
97,0.017956,0.369753
98,0.017927,0.293545
99,0.018856,0.320348
100,0.018128,0.329854
101,0.018748,0.282911
102,0.018754,0.365765
103,0.019759,0.315547
104,0.018581,0.326584
105,0.021821,0.316231
106,0.019307,0.298510
107,0.017994,0.290025
108,0.017531,0.296213
109,0.017825,0.304121
110,0.017429,0.350538
111,0.017407,0.399859
112,0.018086,0.321080
113,0.018527,0.315732
114,0.018044,0.293268
115,0.018607,0.280728
116,0.019530,0.336612
117,0.022161,0.356197
118,0.024570,0.296380
119,0.020047,0.291138
120,0.020818,0.358696
121,0.017541,0.338187
122,0.019508,0.279272
123,0.017988,0.329985
124,0.017620,0.473345
125,0.017825,0.303239
126,0.017496,0.291100
127,0.017787,0.395484
128,0.018399,0.349032
129,0.017162,0.287005
130,0.017367,0.346636
131,0.017548,0.323703
132,0.017735,0.302188
133,0.017750,0.324032
