epoch,train_loss,val_loss
1,0.190171,0.273747
2,0.060763,0.302689
3,0.047883,0.334233
4,0.046099,0.295845
5,0.053359,0.279508
6,0.042079,0.324167
7,0.036329,0.301254
8,0.035141,0.285350
9,0.048622,0.298387
10,0.036096,0.295658
11,0.078060,0.294562
12,0.048102,0.290419
13,0.040650,0.285759
14,0.034189,0.286399
15,0.035053,0.294681
16,0.036141,0.312698
17,0.033668,0.304089
18,0.034953,0.315425
19,0.053600,0.356182
20,0.043889,0.294540
21,0.035649,0.277816
22,0.046597,0.311106
23,0.041997,0.281189
24,0.033462,0.293380
25,0.031749,0.287706
26,0.033401,0.294921
27,0.028937,0.291443
28,0.094506,0.279727
29,0.045909,0.282293
30,0.034790,0.292923
31,0.039034,0.273525
32,0.036590,0.282373
33,0.029613,0.283365
34,0.029988,0.284029
35,0.030093,0.292575
36,0.035952,0.284227
37,0.033324,0.292431
38,0.029862,0.297603
39,0.038758,0.296014
40,0.027151,0.288312
41,0.029419,0.327655
42,0.028990,0.293750
43,0.028535,0.296295
44,0.033481,0.314469
45,0.029884,0.298498
46,0.033758,0.287313
47,0.029300,0.295776
48,0.033417,0.302381
49,0.030847,0.304357
50,0.027762,0.310834
51,0.028821,0.296153
52,0.027990,0.311878
53,0.034130,0.292385
54,0.026746,0.300752
55,0.030791,0.294756
56,0.028727,0.284797
57,0.027012,0.295509
58,0.060892,0.386032
59,0.501756,0.418240
60,0.566205,0.403738
61,0.516971,0.437470
62,0.530704,0.370023
63,0.533577,0.368874
64,0.536400,0.362520
65,0.551663,0.490914
66,0.573764,0.327303
67,0.559309,0.364822
68,0.578806,0.462866
69,0.597496,0.443796
70,0.629917,0.408101
71,0.665874,0.558387
72,0.661942,0.355510
73,0.665311,0.543953
74,0.663013,0.423907
75,0.662540,0.465768
76,0.667256,0.402162
77,0.670139,0.499747
78,0.668874,0.336682
79,0.660683,0.374533
80,0.488634,0.295463
81,0.389434,0.301307
